,n_cells,mt,ERCC,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,imp_sumup,imp_sumup_norm,MoransI
NFIB,10986,False,False,10986,0.35575345,73.48682305241819,14741.0,24.943823,0.34121025,0.0975959055946751
NREP,16510,False,False,16510,0.59303504,60.155420407375225,24573.0,24.920813,0.3408955,0.0967623839682929
NCAM1,7523,False,False,7523,0.22765228,81.84428998938121,9433.0,24.895609,0.34055072,0.0680142128161953
POU3F3,2844,False,False,2844,0.08017183,93.13640312771503,3322.0,24.761501,0.33871627,0.1196717072430659
LUM,3465,False,False,3465,0.09670335,91.63770634231103,4007.0,24.75997,0.33869532,0.0906172816572493
TMSB4X,17216,False,False,17216,0.61924416,58.451587991118835,25659.0,24.594145,0.33642697,0.0581322857277628
DPYSL3,4932,False,False,4932,0.13949223,88.09730668983494,5780.0,24.583754,0.33628485,0.0658188895638224
TSC22D1,12509,False,False,12509,0.4166908,69.8112752196158,17266.0,24.582092,0.33626208,0.0872956703021902
ALB,5453,False,False,5453,0.6696351,86.83994594072787,27747.0,24.574783,0.33616212,0.789321255588445
MAP1B,6975,False,False,6975,0.2143064,83.16681146828844,8880.0,24.492214,0.33503264,0.0744124802050258
MALAT1,34511,False,False,34511,3.0546868,16.71252051356309,126574.0,24.42081,0.3340559,0.1925540545376378
H19,34755,False,False,34755,3.827107,16.123660584998557,158580.0,24.408258,0.33388418,0.3073579347732281
MPPED2,2799,False,False,2799,0.07708273,93.24500434404865,3194.0,24.370031,0.33336127,0.0701323284982781
MEF2C,3987,False,False,3987,0.12001641,90.377932232841,4973.0,24.064098,0.32917637,0.099423381461305
RBP1,6816,False,False,6816,0.19408244,83.55053576600058,8042.0,23.99576,0.3282416,0.046444702152881
S100A10,6370,False,False,6370,0.18257071,84.62689448788493,7565.0,23.96501,0.32782093,0.0718246359403133
TIMP3,4427,False,False,4427,0.12358818,89.31605367313448,5121.0,23.796753,0.3255193,0.0498213848856001
SIM2,847,False,False,847,0.023964668,97.95588377256492,993.0,23.701223,0.32421255,0.127963091119933
MT-ND1,30275,True,False,30275,1.7418911,26.93551501110146,72177.0,23.676828,0.32387885,0.0559039859881718
CELF2,3489,False,False,3489,0.09607588,91.57978569359977,3981.0,23.671263,0.32380274,0.0577998612258963
EPHA3,1952,False,False,1952,0.053552467,95.28912057148374,2219.0,23.648258,0.32348806,0.0796233871283047
SPARC,15690,False,False,15690,0.54908776,62.134375905010145,22752.0,23.62843,0.3232168,0.0811954785723144
MT-CYTB,29205,True,False,29205,1.5322908,29.51781059947871,63492.0,23.6015,0.3228484,0.0356317565196941
LGALS1,21119,False,False,21119,0.8579255,49.03224249444927,35549.0,23.55402,0.32219893,0.0956937482458818
HBA-A1,19172,False,False,19172,1.4412588,53.73105512115068,59720.0,23.477741,0.32115552,0.3731843746008433
TRIL,4617,False,False,4617,0.13029733,88.85751520417028,5399.0,23.430468,0.32050884,0.0729893670144081
LMO4,6042,False,False,6042,0.17364128,85.41847668693889,7195.0,23.4031,0.3201345,0.0544584210385419
FBN2,13598,False,False,13598,0.46770924,67.18312578434211,19380.0,23.373745,0.31973293,0.0985734470111244
GAS1,8510,False,False,8510,0.25026548,79.46230331113043,10370.0,23.294868,0.31865397,0.0599300632065064
ID3,6809,False,False,6809,0.19852303,83.56742928854136,8226.0,23.24827,0.31801653,0.0746430291385338
TUBA1A,20135,False,False,20135,0.7908099,51.406989091611166,32768.0,23.20713,0.31745377,0.1026998898500143
MEOX2,1753,False,False,1753,0.04969109,95.76937928371464,2059.0,23.186424,0.31717053,0.1226872782347889
MDK,25623,False,False,25623,1.2251666,38.16246741963511,50766.0,23.13927,0.31652552,0.145259010422861
LDHA,10892,False,False,10892,0.356936,73.71367892653731,14790.0,23.131567,0.31642017,0.0989957167040521
RGS2,3095,False,False,3095,0.09153876,92.53064967660971,3793.0,23.111115,0.31614035,0.1269042608619909
CTNNB1,21961,False,False,21961,0.8860411,47.000193068829034,36714.0,23.104767,0.3160535,0.0593547261869515
ITM2A,5921,False,False,5921,0.17969881,85.7104932908582,7446.0,22.931414,0.31368223,0.1231450455184483
ALX1,1025,False,False,1025,0.028960325,97.52630562795636,1200.0,22.88023,0.31298208,0.1154724756793785
FOXP1,4462,False,False,4462,0.1253258,89.23158606043054,5193.0,22.87008,0.31284323,0.063069439564695
MARCKS,28209,False,False,28209,1.4986244,31.921517520996233,62097.0,22.863565,0.3127541,0.162987727320076
PMEL,1325,False,False,1325,0.05236992,96.80229751906555,2170.0,22.780117,0.3116126,0.2539081471616575
CXCL12,4004,False,False,4004,0.11354861,90.33690510667053,4705.0,22.737677,0.31103206,0.1054941459979215
SOX4,11384,False,False,11384,0.37054735,72.52630562795636,15354.0,22.736557,0.31101674,0.0859171580980265
EMP1,5856,False,False,5856,0.16463944,85.86736171445119,6822.0,22.722847,0.3108292,0.0613464627468597
COL1A1,9769,False,False,9769,0.31125107,76.42388261415194,12897.0,22.665213,0.3100408,0.1163971688377729
MT-ND4,24517,True,False,24517,1.0605271,40.83164398107926,43944.0,22.639828,0.30969357,0.0233449432708625
DLX6,1171,False,False,1171,0.03180809,97.17395501496283,1318.0,22.622887,0.30946183,0.1196331413454895
IGFBP2,3480,False,False,3480,0.09535187,91.60150593686649,3951.0,22.611137,0.3093011,0.0490084781904421
COL14A1,1712,False,False,1712,0.045902114,95.86832705859639,1902.0,22.528093,0.30816516,0.0680953096729765
HOXC8,622,False,False,622,0.01720726,98.49888985423303,713.0,22.50021,0.30778372,0.1312478760767637
TNNT1,3342,False,False,3342,0.121850565,91.93454966695627,5049.0,22.49705,0.30774048,0.2793267576852582
PABPC1,19214,False,False,19214,0.71191716,53.62969398590598,29499.0,22.491901,0.30767006,0.0369659813076551
MT-ND2,16666,True,False,16666,0.57587606,59.778936190752006,23862.0,22.482374,0.30753973,0.0239016534939252
MECOM,3004,False,False,3004,0.09240757,92.75026546963993,3829.0,22.411293,0.3065674,0.1899614587781104
NNAT,12353,False,False,12353,0.39994207,70.18775943623902,16572.0,22.381554,0.3061606,0.0722664680001023
COL6A3,3266,False,False,3266,0.090211414,92.11796505454195,3738.0,22.306866,0.30513892,0.056039132086955
FN1,8811,False,False,8811,0.25936383,78.73588184187663,10747.0,22.302975,0.30508572,0.040868463530654
BCL11A,5371,False,False,5371,0.14948355,87.03784149049136,6194.0,22.2825,0.3048056,0.0403800465766634
ZFP503,3578,False,False,3578,0.09561734,91.36499662129549,3962.0,22.22236,0.30398297,0.0327541694117316
TOP2A,16297,False,False,16297,0.576407,60.66946616468771,23884.0,22.221945,0.30397728,0.0438768739475168
HBB-Y,35048,False,False,35048,4.5819817,15.416545998648523,189859.0,22.162935,0.30317008,0.3271823501382651
GAS2,2595,False,False,2595,0.07290762,93.73732985809441,3021.0,22.149475,0.30298594,0.1018770501805454
CD24A,8688,False,False,8688,0.27524376,79.03272516652187,11405.0,22.109732,0.30244228,0.1128950310815224
SERPINE2,4886,False,False,4886,0.14135052,88.20832126653151,5857.0,22.032736,0.30138904,0.0765964857127452
CRYBB1,3089,False,False,3089,0.34105608,92.54512983878753,14132.0,22.00234,0.3009733,0.5168808438592302
RPLP0,23542,False,False,23542,1.0376967,43.18467033497442,42998.0,21.89261,0.29947227,0.0610663420820554
NCL,27154,False,False,27154,1.3544502,34.46761270392895,56123.0,21.844423,0.2988131,0.0601343839766434
EMX2,1493,False,False,1493,0.039820448,96.39685297808668,1650.0,21.826654,0.29857007,0.0765012251467151
CRYM,1125,False,False,1125,0.031446084,97.28496959165943,1303.0,21.81536,0.29841554,0.1223035193203791
IRX1,1656,False,False,1656,0.044864368,96.00347523892268,1859.0,21.778992,0.29791808,0.0876489776048276
SULF2,6976,False,False,6976,0.20120186,83.16439810792548,8337.0,21.756075,0.2976046,0.0710614611273851
CHD3,12472,False,False,12472,0.40216237,69.90056955304567,16664.0,21.742434,0.29741797,0.0685104350968609
RPL4,35988,False,False,35988,2.7916064,13.147987257457283,115673.0,21.711927,0.29700068,0.05254077184002
TENM4,3611,False,False,3611,0.09899604,91.2853557293175,4102.0,21.704046,0.29689285,0.0533826103178253
GNAS,36217,False,False,36217,2.807655,12.595327734337292,116338.0,21.667166,0.2963884,0.0722550274931312
RPL13A,31486,False,False,31486,1.8228111,24.012935611545515,75530.0,21.632235,0.29591054,0.0447031786807853
HBB-BT,20709,False,False,20709,3.1832223,50.02172024326672,131900.0,21.624765,0.29580837,0.4885233124719599
HSP90B1,23282,False,False,23282,0.95026064,43.81214402934647,39375.0,21.622412,0.2957762,0.0211451557777184
COL26A1,5989,False,False,5989,0.16980404,85.54638478617626,7036.0,21.600483,0.2954762,0.0534908869756611
CNBP,18606,False,False,18606,0.68068826,55.09701708659137,28205.0,21.57221,0.29508948,0.0397753375632658
CALD1,10783,False,False,10783,0.33260933,73.97673520610097,13782.0,21.546593,0.29473904,0.0412813579231089
CDO1,4610,False,False,4610,0.12665315,88.87440872671107,5248.0,21.545052,0.29471797,0.0422785313114556
RPS5,34281,False,False,34281,2.3982527,17.267593397046042,99374.0,21.544846,0.29471514,0.0634949541171373
FTH1,18770,False,False,18770,0.8441452,54.7012259870644,34978.0,21.541956,0.29467562,0.172012148653402
GRB10,14535,False,False,14535,0.47714546,64.92180712423978,19771.0,21.541294,0.29466656,0.0343395328237381
TBX3,1764,False,False,1764,0.046046916,95.74283231972198,1908.0,21.52,0.2943753,0.0390795033211944
MEIS1,2171,False,False,2171,0.058910128,94.76059465199343,2441.0,21.506905,0.29419613,0.0688742957776777
EEF1A1,14947,False,False,14947,0.4864369,63.9275026546964,20156.0,21.498053,0.29407504,0.0191832911501449
HBB-BS,23304,False,False,23304,4.027102,43.75905010136113,166867.0,21.478495,0.29380754,0.4800720788872601
GNB2L1,27844,False,False,27844,1.3781253,32.802394053480064,57104.0,21.43226,0.29317507,0.0529568538529798
PTCH1,1858,False,False,1858,0.050125495,95.51597644560286,2077.0,21.411964,0.29289746,0.0733912924378721
TPM2,5463,False,False,5463,0.20694566,86.81581233709818,8575.0,21.40564,0.29281092,0.2406916479797829
ACTB,37477,False,False,37477,3.1410127,9.554493676995845,130151.0,21.396782,0.29268977,0.0416021293853733
HNRNPA2B1,30847,False,False,30847,1.6714209,25.555072883482964,69257.0,21.392927,0.29263705,0.0225977101718104
PBX1,5396,False,False,5396,0.14912154,86.97750748141712,6179.0,21.389606,0.2925916,0.0376414414814753
UBC,17421,False,False,17421,0.5931798,57.95684911671011,24579.0,21.3658,0.29226595,0.0158580536807058
ALX4,2092,False,False,2092,0.057413843,94.95125012066802,2379.0,21.364847,0.29225293,0.0998331645979386
YBX1,22125,False,False,22125,0.88119024,46.60440196930205,36513.0,21.349798,0.29204708,0.0347217034644755
RPS14,22156,False,False,22156,0.88628244,46.52958779805001,36724.0,21.343214,0.291957,0.03870645725044
COL9A2,2799,False,False,2799,0.09491746,93.24500434404865,3933.0,21.268806,0.29093915,0.234450249578841
KIF26B,2478,False,False,2478,0.06602954,94.01969302056183,2736.0,21.265684,0.29089645,0.0383588813029492
SEPT11,8088,False,False,8088,0.23317888,80.4807413843035,9662.0,21.244406,0.2906054,0.0335738872174093
TWIST2,2956,False,False,2956,0.08089584,92.86610676706246,3352.0,21.186552,0.289814,0.093259919862687
