,n_cells,mt,ERCC,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,MoransI_Sc,MoransI_My,MoransI_Ept,MoransI_PEL,MoransI_LM,MoransI_Ml,MoransI_IO
0610030E20RIK,1920,False,False,1920,0.049136017,95.36634810309876,2036.0,-0.0005911756033476027,0.0004399578544680432,-0.01373499830014722,-0.011558834544145604,0.002232465356882804,0.016595252168012154,-0.03229640003283573
0610037L13RIK,2046,False,False,2046,0.051670045,95.06226469736461,2141.0,0.0018821731502100705,0.0002606073731669457,0.001187848631719861,-0.012982703494681858,0.03799275088317852,-0.018802715432457883,0.005029596117245631
0610038B21RIK,70,False,False,70,0.0017134858,99.83106477459214,71.0,0.00519507814276848,-0.0009424609106642065,0.0004955109890754513,-2.0,0.0009104568454083986,-2.0,-2.0
0610039K10RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
0610040B10RIK,146,False,False,146,0.0037889758,99.64764938700647,157.0,-0.0015124608295245332,0.010757296092270179,0.0036695460004867115,-2.0,-2.0,-2.0,-0.028663515556399777
0610040F04RIK,23,False,False,23,0.0005550729,99.9444927116517,23.0,0.038228760807189954,-0.0011063219037086148,-2.0,-2.0,-2.0,-2.0,-2.0
0610040J01RIK,181,False,False,181,0.004561251,99.56318177430254,189.0,0.002818393680359078,0.002326921586156219,-0.0035380734387065642,-2.0,-2.0,-0.001687397834548037,-2.0
0610043K17RIK,25,False,False,25,0.0006274737,99.93966599092576,26.0,-0.0008836968327033817,-0.0012381591057240996,-2.0,-2.0,-2.0,-2.0,-2.0
1010001B22RIK,8,False,False,8,0.00019306883,99.98069311709624,8.0,-0.0008709967801788759,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
1010001N08RIK,24,False,False,24,0.0005792065,99.94207935128874,24.0,0.023009955128273873,-0.0011164763500254276,-2.0,-2.0,-2.0,-2.0,-2.0
1110001J03RIK,1061,False,False,1061,0.026426297,97.43942465488948,1095.0,0.0040585081597493316,-0.006744705122598795,-0.0013657245657932207,-0.005319420792235965,0.0012328860123206342,-0.01754591680871895,-0.02279666226381958
1110002E22RIK,61,False,False,61,0.001520417,99.85278501785886,63.0,0.0027113827429491384,0.002641801634934998,-2.0,-2.0,-2.0,-2.0,-2.0
1110002J07RIK,19,False,False,19,0.00045853847,99.95414615310358,19.0,-0.0018349959647307973,-2.0,-2.0,-2.0,-2.0,-2.0,-0.02837457604092168
