,n_cells,mt,ERCC,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,MoransI
1700003F12RIK,30,False,False,30,0.0007481417,99.92759918911092,31.0,0.008539533394193199
1700003G18RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.00014230865697939418
1700003M02RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,-0.0001173448653048077
1700003P14RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-7.127933375813618e-05
1700006J14RIK,86,False,False,86,0.0020996234,99.79245100878464,87.0,0.005430867587703623
1700007B14RIK,31,False,False,31,0.0007481417,99.92518582874796,31.0,0.0011867826716277844
1700007G11RIK,30,False,False,30,0.0007722753,99.92759918911092,32.0,-0.00029193077169826966
1700007K13RIK,27,False,False,27,0.0006516073,99.93483927019983,27.0,0.0006538617365232754
1700007L15RIK,64,False,False,64,0.0015928178,99.84554493676995,66.0,0.0009880813957446155
1700008F21RIK,7,False,False,7,0.00016893522,99.98310647745922,7.0,-0.0001648010158865816
1700008J07RIK,277,False,False,277,0.006757409,99.33149917945747,280.0,0.0010528913733329247
1700008O03RIK,26,False,False,26,0.0006274737,99.9372526305628,26.0,0.00041377571067887584
1700009N14RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,-0.00011684092126685299
1700010I14RIK,123,False,False,123,0.0030891013,99.70315667535476,128.0,0.00037634100959148693
1700010K23RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,0.00114433977154874
1700010K24RIK,110,False,False,110,0.00267883,99.73453036007336,111.0,-0.00037842206635877807
1700011I03RIK,7,False,False,7,0.00016893522,99.98310647745922,7.0,0.000710743869178571
1700011L22RIK,12,False,False,12,0.00028960325,99.97103967564436,12.0,-0.0002841761378515699
1700012B07RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-9.772419580449014e-05
1700012C14RIK,13,False,False,13,0.00031373685,99.9686263152814,13.0,0.00026852685569989787
1700012I11RIK,9,False,False,9,0.00021720244,99.97827975673329,9.0,-0.00021621858130327473
1700012L04RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-7.004065318875944e-05
1700013F07RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-9.551893177999431e-05
1700013N06RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-7.549508873077623e-05
1700014D04RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.0001369600684845418
1700015O11RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-7.225546140071515e-05
1700016D06RIK,79,False,False,79,0.0019065547,99.80934453132542,79.0,0.0003053373265883968
1700016H13RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-9.323612008761185e-05
1700016K19RIK,45,False,False,45,0.0010860121,99.89139878366638,45.0,0.0028555350192184478
1700016L21RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.00013305793766825636
1700016P03RIK,44,False,False,44,0.0011342794,99.89381214402935,47.0,0.0013432777568555927
1700017B05RIK,497,False,False,497,0.012163336,98.80055989960421,504.0,0.0008975260383054984
1700017D01RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-9.440134936790885e-05
1700017I07RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,0.00286751762177263
1700018L02RIK,12,False,False,12,0.00028960325,99.97103967564436,12.0,-0.0002710754481212905
1700019A02RIK,26,False,False,26,0.0006274737,99.9372526305628,26.0,0.0015165632199135887
1700019D03RIK,80,False,False,80,0.0019789555,99.80693117096244,82.0,0.0020425137251221903
1700019G17RIK,25,False,False,25,0.0006274737,99.93966599092576,26.0,0.00044937982638197313
1700019N19RIK,29,False,False,29,0.0006998745,99.93001254947389,29.0,-2.2092764907748267e-05
1700020D05RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-9.472581633033022e-05
1700020G17RIK,31,False,False,31,0.0007481417,99.92518582874796,31.0,0.000613647685297642
1700020I14RIK,4705,False,False,4705,0.12542234,88.64513949222898,5197.0,0.0038761097182522563
1700020L24RIK,17,False,False,17,0.00041027126,99.95897287382952,17.0,3.933886902476368e-05
1700021F05RIK,1932,False,False,1932,0.04916015,95.33738777874312,2037.0,0.0028963983591399315
1700021K19RIK,826,False,False,826,0.020513562,98.00656434018727,850.0,-9.913407488035951e-05
1700022A22RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-7.52800283384259e-05
1700022I11RIK,10,False,False,10,0.00026546963,99.97586639637031,11.0,0.0004958353695347794
1700022N22RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-9.736237436794618e-05
1700023E05RIK,8,False,False,8,0.00019306883,99.98069311709624,8.0,-0.00017592199976936625
1700023F02RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.00014555977356472066
1700023F06RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.0001400958248088029
1700023H06RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.00013678300105849638
1700024B05RIK,7,False,False,7,0.00016893522,99.98310647745922,7.0,0.0010616453966065685
1700024B18RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,-0.00011945051483132588
1700024P16RIK,91,False,False,91,0.0023409596,99.78038420696979,97.0,0.0004850271874521384
1700025F22RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,-0.000113975212839264
1700025G04RIK,1779,False,False,1779,0.044960905,95.70663191427744,1863.0,0.006576325696740753
1700025H01RIK,23,False,False,23,0.0005550729,99.9444927116517,23.0,0.0016183521237325622
1700025K24RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.00014219035073278192
1700026D08RIK,22,False,False,22,0.00053093926,99.94690607201467,22.0,0.004391373212565822
1700026D11RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-9.185771170809775e-05
1700026J12RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-9.382945473127042e-05
1700026J14RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-7.275714444139211e-05
1700026L06RIK,22,False,False,22,0.0005550729,99.94690607201467,23.0,0.000290097393654719
1700027A07RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-8.789430230882231e-05
1700027A15RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-6.779946847141909e-05
1700027H10RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-9.610489020053843e-05
1700028E10RIK,54,False,False,54,0.0013273482,99.86967854039965,55.0,-0.0004926418893795824
1700028I16RIK,10,False,False,10,0.00024133603,99.97586639637031,10.0,0.00041235538096368756
1700028J19RIK,24,False,False,24,0.0006033401,99.94207935128874,25.0,0.0004940562541187968
1700028P14RIK,25,False,False,25,0.0006033401,99.93966599092576,25.0,-0.0005880784769682594
1700029H14RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,-0.00011855624318056688
1700029I15RIK,40,False,False,40,0.0009894777,99.90346558548123,41.0,-0.0002944938431091512
1700029J03RIK,8,False,False,8,0.00019306883,99.98069311709624,8.0,-0.0001869930218227612
1700029J07RIK,176,False,False,176,0.0044164495,99.57524857611737,183.0,0.0009305677260470689
1700030C10RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-9.985373550462993e-05
1700030C12RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,-0.00011898536730909755
1700030F04RIK,9,False,False,9,0.00021720244,99.97827975673329,9.0,-0.0002086844021510435
1700030J22RIK,107,False,False,107,0.0027029635,99.74177044116227,112.0,0.00054524425910891
1700030K09RIK,542,False,False,542,0.013321749,98.69195868327058,552.0,-0.00033534103359062194
1700030N03RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.00014582422550398348
1700031P21RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.0001314485291289785
1700034H15RIK,29,False,False,29,0.0006998745,99.93001254947389,29.0,0.0004580154719758491
1700034P13RIK,83,False,False,83,0.0020272227,99.79969108987355,84.0,0.0060095043739078445
1700037C18RIK,201,False,False,201,0.0049715224,99.51491456704315,206.0,0.001825594029055123
1700037H04RIK,1881,False,False,1881,0.047784533,95.46046915725455,1980.0,0.016760749311950533
1700040D17RIK,9,False,False,9,0.00021720244,99.97827975673329,9.0,0.0007215070475228811
1700040K01RIK,5,False,False,5,0.00012066802,99.98793319818515,5.0,-0.00011523024569262547
1700040L02RIK,29,False,False,29,0.00072400813,99.93001254947389,30.0,0.0006453736299841822
1700041G16RIK,7,False,False,7,0.00016893522,99.98310647745922,7.0,0.0010496462152903795
1700042O10RIK,27,False,False,27,0.0006516073,99.93483927019983,27.0,0.001289393622318678
1700044C05RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-7.016837488914606e-05
1700045H11RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-6.16110196282744e-05
1700047F07RIK,9,False,False,9,0.00021720244,99.97827975673329,9.0,-0.00020446569960681947
1700047K16RIK,19,False,False,19,0.00045853847,99.95414615310358,19.0,-5.827814653068626e-06
1700048M11RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.00014198152474757277
1700048O20RIK,464,False,False,464,0.011391061,98.8802007915822,472.0,0.000852812274126697
1700049G17RIK,179,False,False,179,0.0043440484,99.56800849502848,180.0,0.0002069359510865922
1700049J03RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-7.156155590525908e-05
1700052K11RIK,744,False,False,744,0.018438073,98.20445988995077,764.0,0.0005993310714063357
1700054A03RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-9.973077835133577e-05
