,n_cells,mt,ERCC,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,MoransI
MAPK7,1258,False,False,1258,0.031156482,96.9639926633845,1291.0,0.0022186745719192844
MAPK8,1725,False,False,1725,0.044164494,95.83695337387779,1830.0,0.0018911909484348496
MAPK8IP1,1598,False,False,1598,0.040665124,96.1434501399749,1685.0,0.00950072240651366
MAPK8IP2,199,False,False,199,0.004923255,99.5197412877691,204.0,0.0013791222808178674
MAPK8IP3,1251,False,False,1251,0.031204749,96.98088618592529,1293.0,0.001198338917853126
MAPK9,1584,False,False,1584,0.03977218,96.17723718505647,1648.0,0.0014272824946130577
MAPKAP1,2914,False,False,2914,0.07614152,92.96746790230718,3155.0,0.0016877374783011432
MAPKAPK2,2367,False,False,2367,0.059972007,94.28757602085143,2485.0,0.0028187534869865286
MAPKAPK3,146,False,False,146,0.0036924414,99.64764938700647,153.0,0.0015414046330198242
MAPKAPK5,1785,False,False,1785,0.045250505,95.69215175209962,1875.0,0.00021710124110876645
MAPKBP1,741,False,False,741,0.018365672,98.21169997103968,761.0,0.0009384542393077753
MAPRE1,6617,False,False,6617,0.18225698,84.0307944782315,7552.0,0.00718112832096777
MAPRE2,2134,False,False,2134,0.05471088,94.8498889854233,2267.0,0.006718130315437895
MAPRE3,435,False,False,435,0.010739454,98.95018824210831,445.0,0.0034655204707347217
MAPT,162,False,False,162,0.0041027125,99.60903562119896,170.0,0.006130005497163847
MARC1,57,False,False,57,0.0014238827,99.86243845931074,59.0,0.008786005793321032
MARC2,2937,False,False,2937,0.076768994,92.91196061395888,3181.0,0.010213729907366976
MARCH1,32,False,False,32,0.0007722753,99.92277246838498,32.0,-0.0002234707023698837
MARCH10,16,False,False,16,0.00041027126,99.96138623419249,17.0,0.0013466731279047424
MARCH11,73,False,False,73,0.0018100203,99.82382469350324,75.0,0.00537080251884952
MARCH2,2021,False,False,2021,0.052949127,95.12259870643885,2194.0,0.037042122410283984
MARCH3,412,False,False,412,0.010473984,99.0056955304566,434.0,0.021478302396461847
MARCH4,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-9.029242985494155e-05
MARCH5,3633,False,False,3633,0.095014,91.23226180133217,3937.0,0.008489514023880857
MARCH6,1342,False,False,1342,0.033738777,96.76127039289507,1398.0,0.0019698543326763453
MARCH7,3049,False,False,3049,0.07915822,92.6416642533063,3280.0,0.0022161711702661387
MARCH8,1183,False,False,1183,0.03033594,97.1449946906072,1257.0,0.021435214791142524
MARCH9,517,False,False,517,0.012597742,98.75229269234482,522.0,0.002061245927545926
MARCKS,28209,False,False,28209,1.4986244,31.921517520996233,62097.0,0.16298772732007602
MARCKSL1,13300,False,False,13300,0.42113137,67.90230717250701,17450.0,0.04026401553809067
MARCO,104,False,False,104,0.003040834,99.74901052225118,126.0,0.0224497063019393
MARF1,1528,False,False,1528,0.038517233,96.31238536538275,1596.0,0.0003470481489457233
MARK1,1197,False,False,1197,0.03026354,97.11120764552564,1254.0,0.0062365900712913905
MARK2,773,False,False,773,0.018896611,98.13447243942466,783.0,0.00023019887064423743
MARK3,3735,False,False,3735,0.098296165,90.9860990443093,4073.0,0.0022202114201767213
MARK4,195,False,False,195,0.004802587,99.52939472922097,199.0,0.0007768056271450213
MARS,2229,False,False,2229,0.057558645,94.62061975094122,2385.0,0.013107566588667028
MARS2,273,False,False,273,0.0066850083,99.34115262090936,277.0,0.0016741908228058212
MARVELD1,1044,False,False,1044,0.025822956,97.48045178105995,1070.0,0.00262266437690206
MARVELD2,129,False,False,129,0.0032580364,99.68867651317694,135.0,0.0009710483381237239
MARVELD3,32,False,False,32,0.0008205425,99.92277246838498,34.0,0.004377789192111249
MAS1,13,False,False,13,0.00031373685,99.9686263152814,13.0,0.0003732944889984788
MASP1,376,False,False,376,0.009339704,99.09257650352352,387.0,0.015475509656183916
MASP2,39,False,False,39,0.00096534414,99.9058789458442,40.0,0.001950730196734792
MAST1,34,False,False,34,0.0008205425,99.91794574765905,34.0,0.01307816288995267
MAST2,1624,False,False,1624,0.040882323,96.0807027705377,1694.0,0.0012928951432389295
MAST3,683,False,False,683,0.016990056,98.3516748720919,704.0,0.0005938347505002946
MAST4,1132,False,False,1132,0.028574187,97.26807606911864,1184.0,0.0033835029316307166
MASTL,463,False,False,463,0.011439328,98.88261415194518,474.0,0.00015919101941796383
MAT1A,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,-9.390725375341984e-05
MAT2A,6010,False,False,6010,0.16422917,85.49570421855391,6805.0,0.010432570886015702
MAT2B,2314,False,False,2314,0.059368666,94.4154841200888,2460.0,0.0028276126327098907
MATK,147,False,False,147,0.0036924414,99.6452360266435,153.0,0.0010425264805914525
MATN1,11,False,False,11,0.00031373685,99.97345303600733,13.0,0.004008804700089171
MATN2,546,False,False,546,0.013611352,98.68230524181871,564.0,0.005654146172987248
MATN3,42,False,False,42,0.0010136113,99.89863886475528,42.0,0.0058740097305891486
MATN4,551,False,False,551,0.014673231,98.67023844000387,608.0,0.0933224088227595
MATR3,12469,False,False,12469,0.3887441,69.90780963413457,16108.0,0.018668948935795116
MAU2,1599,False,False,1599,0.040206585,96.14103677961194,1666.0,0.001655332847919796
MAVS,352,False,False,352,0.008688097,99.15049715223478,360.0,0.000662387828346174
MAX,2430,False,False,2430,0.06253017,94.13553431798437,2591.0,0.0035483147565610025
MAZ,1232,False,False,1232,0.030504875,97.0267400328217,1264.0,0.001740276408171647
MB,141,False,False,141,0.0035717734,99.6597161888213,148.0,0.020604090166498223
MB21D1,230,False,False,230,0.005792065,99.44492711651704,240.0,0.0010897716752969867
MB21D2,619,False,False,619,0.015348972,98.50612993532194,636.0,0.0034594667515539953
MBD1,1413,False,False,1413,0.035524666,96.58992180712424,1472.0,0.0006590048185884766
MBD2,3183,False,False,3183,0.084395215,92.3182739646684,3497.0,0.020248097545901685
MBD3,7153,False,False,7153,0.19934356,82.73723332367989,8260.0,0.010734762476269678
MBD4,652,False,False,652,0.016459119,98.42648904334396,682.0,-0.00021909485296818884
MBD5,1024,False,False,1024,0.025750555,97.52871898831934,1067.0,0.0012305241682750866
MBD6,1140,False,False,1140,0.028260449,97.24876918621489,1171.0,0.0016011289872028475
MBIP,1014,False,False,1014,0.025195483,97.55285259194903,1044.0,0.001478632781742472
MBL1,107,False,False,107,0.0027270971,99.74177044116227,113.0,0.017816760543328144
MBL2,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-7.279446071409024e-05
MBLAC1,276,False,False,276,0.0067815427,99.33391253982045,281.0,-0.00017317115536333113
MBLAC2,223,False,False,223,0.0056231297,99.46182063905782,233.0,0.0009712784149489911
MBNL1,1757,False,False,1757,0.045322906,95.75972584226277,1878.0,0.0271832776497986
MBNL2,3670,False,False,3670,0.097813495,91.14296746790231,4053.0,0.0179511173251599
MBNL3,466,False,False,466,0.011535862,98.87537407085625,478.0,0.0029865893666803653
MBOAT1,378,False,False,378,0.009677575,99.08774978279756,401.0,0.028878648254733522
MBOAT2,844,False,False,844,0.021189304,97.96312385365383,878.0,0.0011266564755371058
MBOAT4,8,False,False,8,0.00019306883,99.98069311709624,8.0,0.0008607991444467555
MBOAT7,897,False,False,897,0.022444252,97.83521575441645,930.0,0.00017753681051841262
MBP,308,False,False,308,0.0078192875,99.25668500820542,324.0,0.007782402848464653
MBTD1,3952,False,False,3952,0.104595035,90.46239984554494,4334.0,0.0067752874408391894
MBTPS1,3447,False,False,3447,0.089149535,91.68114682884449,3694.0,0.0043718999844743174
MBTPS2,726,False,False,726,0.018124336,98.24790037648422,751.0,0.00138225264794548
MC1R,46,False,False,46,0.0011101458,99.88898542330341,46.0,0.0005522096216333913
MC2R,7,False,False,7,0.00016893522,99.98310647745922,7.0,-0.00016966736906814033
MC4R,47,False,False,47,0.001158413,99.88657206294043,48.0,0.0038709218342360533
MCAM,518,False,False,518,0.012742543,98.74987933198184,528.0,0.006342824481828506
MCAT,890,False,False,890,0.02203398,97.85210927695724,913.0,0.0011356141949135973
MCC,887,False,False,887,0.022420118,97.85934935804615,929.0,0.00499241206887508
MCCC1,890,False,False,890,0.022227049,97.85210927695724,921.0,0.0009073762301598889
MCCC1OS,13,False,False,13,0.00031373685,99.9686263152814,13.0,-0.00031382168544834884
MCCC2,806,False,False,806,0.020127425,98.05483154744667,834.0,0.00027424233272035345
MCEE,563,False,False,563,0.013900956,98.64127811564822,576.0,0.0022623719496205736
MCEMP1,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,0.0015819223302524796
MCF2,26,False,False,26,0.0006516073,99.9372526305628,27.0,0.0010385726824121652
MCF2L,436,False,False,436,0.010811854,98.94777488174535,448.0,0.002607910213880715
MCFD2,2349,False,False,2349,0.06067188,94.33101650738487,2514.0,0.004768683384151487
MCHR1,22,False,False,22,0.0005550729,99.94690607201467,23.0,0.001405449209468843
MCL1,5226,False,False,5226,0.14069891,87.38777874312193,5830.0,0.010812551568136411
MCM10,1238,False,False,1238,0.031204749,97.01225987064387,1293.0,0.009418790600346293
MCM2,4102,False,False,4102,0.10978376,90.10039579109953,4549.0,0.01795649526637774
MCM3,5987,False,False,5987,0.16620813,85.55121150690222,6887.0,0.03425219660721477
MCM3AP,1360,False,False,1360,0.034100782,96.71782990636162,1413.0,0.0011907227907803288
MCM4,6857,False,False,6857,0.1936239,83.45158799111884,8023.0,0.014956229422804126
MCM5,5694,False,False,5694,0.15621682,86.25832609325225,6473.0,0.02688611480988333
MCM6,6276,False,False,6276,0.17327927,84.85375036200405,7180.0,0.01731342032624418
MCM7,5009,False,False,5009,0.13524471,87.91147794188629,5604.0,0.02181558046894874
MCM8,789,False,False,789,0.019668886,98.09585867361714,815.0,0.0020627926355221192
MCM9,436,False,False,436,0.010739454,98.94777488174535,445.0,0.0011711797941038353
MCMBP,2458,False,False,2458,0.062288832,94.06796022782122,2581.0,0.002538912839742731
MCMDC2,36,False,False,36,0.00086880976,99.9131190269331,36.0,0.0007442048630669755
MCOLN1,920,False,False,920,0.022806255,97.77970846606814,945.0,0.001732064758725232
MCOLN2,32,False,False,32,0.0007964089,99.92277246838498,33.0,0.0011310731260345199
MCOLN3,66,False,False,66,0.0016169514,99.84071821604402,67.0,0.000906223354479145
MCPH1,931,False,False,931,0.023554398,97.75316150207549,976.0,0.0023608182318441413
MCRS1,708,False,False,708,0.017400328,98.29134086301767,721.0,0.001315205297136326
MCTP1,102,False,False,102,0.0024857612,99.75383724297711,103.0,0.0013992170599492607
MCTP2,32,False,False,32,0.0007722753,99.92277246838498,32.0,0.00044624648188887914
MCTS1,1227,False,False,1227,0.030842746,97.03880683463655,1278.0,0.00015162279835036695
MCTS2,869,False,False,869,0.02176851,97.9027898445796,902.0,0.0015321822630599642
MCU,1447,False,False,1447,0.036345206,96.50786755478327,1506.0,0.008969901407327298
MCUR1,665,False,False,665,0.016603919,98.39511535862535,688.0,0.0019867463521640047
MDC1,1949,False,False,1949,0.049642824,95.29636065257264,2057.0,0.0031860068306197153
MDFI,2030,False,False,2030,0.051645912,95.10087846317212,2140.0,0.014521749784287772
MDFIC,1072,False,False,1072,0.027198572,97.4128776908968,1127.0,0.018774100397275277
MDGA1,190,False,False,190,0.0046819192,99.54146153103581,194.0,0.0005492107404972432
MDGA2,360,False,False,360,0.009387972,99.13119026933101,389.0,0.02266618843481487
MDH1,8332,False,False,8332,0.23904334,79.89188145573898,9905.0,0.011855604163174053
MDH1B,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.0001405102576692792
MDH2,8155,False,False,8155,0.23300995,80.31904623998456,9655.0,0.022494304903735465
MDK,25623,False,False,25623,1.2251666,38.16246741963511,50766.0,0.14525901042286105
MDM1,1244,False,False,1244,0.031132348,96.99777970846607,1290.0,0.0031208444179025505
MDM2,1648,False,False,1648,0.041630466,96.02278212182644,1725.0,0.0030478266969648426
MDM4,2561,False,False,2561,0.06627087,93.81938411043537,2746.0,0.0008585416624863444
MDN1,1620,False,False,1620,0.040954724,96.09035621198957,1697.0,0.0021435402910832077
MDP1,2334,False,False,2334,0.059682403,94.36721691282942,2473.0,0.0016085175437070191
ME1,453,False,False,453,0.011222126,98.90674775557487,465.0,0.00507697617500744
ME2,1784,False,False,1784,0.045322906,95.6945651124626,1878.0,0.007884391606233228
ME3,55,False,False,55,0.0013273482,99.86726518003668,55.0,0.001991935742524122
MEA1,3495,False,False,3495,0.09098369,91.56530553142194,3770.0,0.0030185709816655908
MEAF6,1990,False,False,1990,0.051066704,95.19741287769091,2116.0,0.0021455943370202214
MECOM,3004,False,False,3004,0.09240757,92.75026546963993,3829.0,0.18996145877811046
MECOMOS,47,False,False,47,0.0011342794,99.88657206294043,47.0,0.005107221826885149
MECP2,1679,False,False,1679,0.042788878,95.94796795057438,1773.0,0.001226755772913523
MECR,975,False,False,975,0.024543874,97.64697364610484,1017.0,0.005398128239724108
MED1,3347,False,False,3347,0.087242976,91.92248286514142,3615.0,0.0016900642977439903
MED10,2268,False,False,2268,0.057606913,94.5264986967854,2387.0,0.002807161783089337
MED11,1039,False,False,1039,0.025943624,97.4925185828748,1075.0,0.0005498898969701992
MED12,41,False,False,41,0.0010136113,99.90105222511826,42.0,-0.0006439844513386006
MED12L,368,False,False,368,0.009146635,99.11188338642725,379.0,0.0135124835762876
MED13,2355,False,False,2355,0.060044404,94.31653634520707,2488.0,0.002081663413684761
MED13L,3007,False,False,3007,0.07795154,92.74302538855102,3230.0,0.002636438501394138
MED14,939,False,False,939,0.023288928,97.73385461917174,965.0,0.0016169861277851262
MED15,976,False,False,976,0.024278406,97.64456028574186,1006.0,2.4901871264114106e-05
MED16,1000,False,False,1000,0.02471281,97.5866396370306,1024.0,0.0011457921305400788
MED17,1440,False,False,1440,0.036128003,96.52476107732406,1497.0,0.0024187853241378586
MED18,222,False,False,222,0.0054541943,99.4642339994208,226.0,0.0004900160929156561
MED19,1792,False,False,1792,0.04580558,95.67525822955884,1898.0,0.0017475575701146086
MED20,1455,False,False,1455,0.036876146,96.48856067187953,1528.0,0.0007712247091329221
MED21,1226,False,False,1226,0.030553142,97.04122019499953,1266.0,0.0007564822829758742
MED22,1723,False,False,1723,0.043223284,95.84178009460372,1791.0,0.0029452076819235593
MED23,1355,False,False,1355,0.03407665,96.72989670817647,1412.0,0.0017501941808205383
MED24,1406,False,False,1406,0.035259195,96.60681532966503,1461.0,0.0013825377823148196
MED25,1188,False,False,1188,0.02946713,97.13292788879235,1221.0,0.0016441071592196443
MED26,686,False,False,686,0.017038325,98.34443479100298,706.0,5.904897946746177e-05
MED27,680,False,False,680,0.016917655,98.35891495318081,701.0,0.0001555683859791913
MED28,2774,False,False,2774,0.07148373,93.30533835312289,2962.0,0.003565229424171
MED29,516,False,False,516,0.012549474,98.75470605270779,520.0,0.00022275555051084976
MED30,1180,False,False,1180,0.029491264,97.15223477169611,1222.0,0.003904779934282697
MED31,1208,False,False,1208,0.03007047,97.08466068153297,1246.0,0.0009899892626527229
MED4,2069,False,False,2069,0.05236992,95.00675740901632,2170.0,0.001727427553555148
MED6,1891,False,False,1891,0.048460275,95.43633555362486,2008.0,0.002198703452913031
MED7,1198,False,False,1198,0.030142872,97.10879428516266,1249.0,0.0017864532440604235
MED8,2428,False,False,2428,0.061588958,94.1403610387103,2552.0,0.007270297665560073
MED9,1267,False,False,1267,0.031832222,96.94227242011777,1319.0,0.0014524893955892707
MED9OS,10,False,False,10,0.00024133603,99.97586639637031,10.0,-0.0002437459632752903
MEDAG,106,False,False,106,0.0027029635,99.74418380152524,112.0,0.007469605937006272
MEF2A,1992,False,False,1992,0.051114973,95.19258615696495,2118.0,0.004354333290937067
MEF2C,3987,False,False,3987,0.12001641,90.377932232841,4973.0,0.09942338146130503
MEF2D,959,False,False,959,0.023892267,97.68558741191235,990.0,0.0018317998851525004
MEG3,13268,False,False,13268,0.54047203,67.97953470412202,22395.0,0.18565707015135477
MEGF10,356,False,False,356,0.008881167,99.14084371078289,368.0,0.014871409656297007
MEGF11,34,False,False,34,0.00086880976,99.91794574765905,36.0,-6.978967587941923e-06
MEGF6,1630,False,False,1630,0.041196063,96.06622260835988,1707.0,0.011666784043853516
MEGF8,1698,False,False,1698,0.043223284,95.90211410367796,1791.0,0.002927978509420902
MEGF9,1002,False,False,1002,0.025364418,97.58181291630467,1051.0,0.004302397615202746
MEI1,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-7.776442562126376e-05
MEI4,54,False,False,54,0.0013756154,99.86967854039965,57.0,0.0008395186035994904
MEIG1,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-7.074591667578495e-05
MEIKIN,75,False,False,75,0.0018100203,99.8189979727773,75.0,0.00026859075030938995
MEIOB,10,False,False,10,0.00024133603,99.97586639637031,10.0,0.00039380363449838463
MEIS1,2171,False,False,2171,0.058910128,94.76059465199343,2441.0,0.06887429577767774
MEIS2,3735,False,False,3735,0.107466936,90.9860990443093,4453.0,0.0857209259002052
MEIS3,611,False,False,611,0.015300705,98.5254368182257,634.0,0.00573279820859842
MELK,1163,False,False,1163,0.028912056,97.19326189786659,1198.0,0.002732386359088826
MEMO1,1428,False,False,1428,0.035717733,96.55372140167971,1480.0,0.004082040738068258
MEN1,1655,False,False,1655,0.041533932,96.00588859928565,1721.0,0.0015198546391805479
MEOX1,398,False,False,398,0.01011198,99.03948257553819,419.0,0.05144501738887989
MEOX2,1753,False,False,1753,0.04969109,95.76937928371464,2059.0,0.12268727823478892
MEP1A,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-7.11670768976179e-05
MEPCE,1743,False,False,1743,0.04387489,95.79351288734433,1818.0,0.0008803795242337216
MERTK,564,False,False,564,0.014214693,98.63886475528525,589.0,0.0046239857048428964
MESDC1,1634,False,False,1634,0.040882323,96.056569166908,1694.0,0.0065549645538103985
MESDC2,4014,False,False,4014,0.10597065,90.31277150304084,4391.0,0.005420490057534593
MESP1,6,False,False,6,0.00014480163,99.98551983782218,6.0,-0.0001438025726316476
MESP2,8,False,False,8,0.00019306883,99.98069311709624,8.0,0.0035776192840593084
MEST,14384,False,False,14384,0.5118013,65.28622453904818,21207.0,0.10409542852153789
MET,307,False,False,307,0.0076503525,99.2590983685684,317.0,0.003960270092750142
METAP1,2146,False,False,2146,0.055000484,94.82092866106767,2279.0,0.005328416464412882
METAP1D,992,False,False,992,0.025292017,97.60594651993436,1048.0,0.0007143381735739536
METAP2,6702,False,False,6702,0.18831451,83.82565884737909,7803.0,0.026443287103330965
METRN,1707,False,False,1707,0.04373009,95.88039386041125,1812.0,0.023623940927481348
METRNL,182,False,False,182,0.0044647167,99.56076841393957,185.0,0.0024215470347391708
METTL1,1153,False,False,1153,0.02912926,97.21739550149628,1207.0,0.0023084646804433485
METTL10,885,False,False,885,0.021792645,97.86417607877208,903.0,0.001094289614049194
METTL11B,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-6.169743210539182e-05
METTL13,763,False,False,763,0.018969012,98.15860604305435,786.0,0.0011057987500245042
METTL14,1140,False,False,1140,0.028887924,97.24876918621489,1197.0,0.0015964700778402113
METTL15,185,False,False,185,0.004512984,99.55352833285066,187.0,0.0007464812357983977
METTL16,3007,False,False,3007,0.07959262,92.74302538855102,3298.0,0.003384081911849493
METTL17,956,False,False,956,0.023747467,97.69282749300126,984.0,0.001283286853435877
METTL18,282,False,False,282,0.006950478,99.31943237764263,288.0,0.0006534216466654179
METTL2,668,False,False,668,0.016555652,98.38787527753644,686.0,0.001333017011883101
METTL20,262,False,False,262,0.0064436723,99.36769958490201,267.0,0.0017031373131908903
METTL21A,481,False,False,481,0.012018534,98.83917366541172,498.0,0.0007500106676723885
METTL21B,22,False,False,22,0.0006033401,99.94690607201467,25.0,-0.0005195380654720012
METTL21C,30,False,False,30,0.00072400813,99.92759918911092,30.0,-0.00019259931368217846
METTL22,390,False,False,390,0.009653442,99.05878945844194,400.0,0.0001334960213246516
METTL23,834,False,False,834,0.020706631,97.98725745728352,858.0,0.0009929176203895248
METTL24,30,False,False,30,0.00072400813,99.92759918911092,30.0,-4.682795909899534e-05
METTL25,472,False,False,472,0.011825466,98.86089390867845,490.0,0.000456088504529015
METTL3,1768,False,False,1768,0.0447437,95.73317887827011,1854.0,0.0005216421102107755
METTL4,235,False,False,235,0.005743798,99.43286031470218,238.0,0.00011544110839380896
METTL5,957,False,False,957,0.024133604,97.69041413263828,1000.0,0.003335198150915703
METTL5OS,85,False,False,85,0.0020754898,99.79486436914759,86.0,-6.695375649175198e-05
METTL6,2182,False,False,2182,0.055362485,94.73404768800077,2294.0,0.0019375821430663396
METTL7A1,488,False,False,488,0.012090935,98.82228014287094,501.0,0.0024828519058394073
METTL8,500,False,False,500,0.0124529395,98.7933198185153,516.0,0.0009345497512925827
METTL9,7082,False,False,7082,0.20050198,82.90858190945072,8308.0,0.022562482584566865
MEX3A,6765,False,False,6765,0.19026934,83.67361714451202,7884.0,0.023210906738113598
MEX3B,3707,False,False,3707,0.09701709,91.05367313447243,4020.0,0.019700159075945592
MEX3C,2055,False,False,2055,0.052225117,95.04054445409788,2164.0,0.004772172423090426
MEX3D,1423,False,False,1423,0.035886668,96.56578820349455,1487.0,0.00467341542138459
MFAP1A,1038,False,False,1038,0.02572642,97.49493194323776,1066.0,0.00033775865182900214
MFAP1B,1207,False,False,1207,0.029877402,97.08707404189593,1238.0,0.00037027595882327456
MFAP2,7859,False,False,7859,0.22176369,81.0334009074235,9189.0,0.031071894031766266
MFAP3,1167,False,False,1167,0.029225795,97.18360845641472,1211.0,0.001967250764905214
MFAP3L,130,False,False,130,0.0032097693,99.68626315281398,133.0,0.001671910267790377
MFAP4,2478,False,False,2478,0.06364031,94.01969302056183,2637.0,0.019170600156737903
MFAP5,55,False,False,55,0.001399749,99.86726518003668,58.0,0.005547140757096152
MFF,3458,False,False,3458,0.08939087,91.65459986485182,3704.0,0.005139676254481124
MFGE8,2361,False,False,2361,0.060913216,94.30205618302925,2524.0,0.005357289571976322
MFHAS1,850,False,False,850,0.021092769,97.94864369147601,874.0,0.0021240180214094494
MFI2,19,False,False,19,0.00045853847,99.95414615310358,19.0,0.0007348348072470382
MFN1,1134,False,False,1134,0.028236317,97.2632493483927,1170.0,2.8511163523155193e-05
MFN2,801,False,False,801,0.019837823,98.0668983492615,822.0,-0.00021748057188299228
MFNG,490,False,False,490,0.012284004,98.817453422145,509.0,0.006252753890739915
MFSD1,1235,False,False,1235,0.03093928,97.0194999517328,1282.0,0.0009985026624311673
MFSD10,1150,False,False,1150,0.028574187,97.2246355825852,1184.0,0.000562542404962321
MFSD11,677,False,False,677,0.01674872,98.36615503426972,694.0,0.0004709432604132344
MFSD12,509,False,False,509,0.012718409,98.77159957524859,527.0,0.001357902222417467
MFSD2A,157,False,False,157,0.003837243,99.62110242301381,159.0,0.0048213463862265635
MFSD2B,341,False,False,341,0.0085915625,99.17704411622744,356.0,0.048571653855095306
MFSD3,250,False,False,250,0.0062264698,99.39665990925765,258.0,0.0002922222432509489
MFSD4,31,False,False,31,0.0007481417,99.92518582874796,31.0,-0.00036587448678816406
MFSD5,1062,False,False,1062,0.026908968,97.4370112945265,1115.0,0.0003084555306188733
MFSD6,88,False,False,88,0.0021961578,99.7876242880587,91.0,0.0006352296385583967
MFSD7A,25,False,False,25,0.0006274737,99.93966599092576,26.0,0.00043969579173620273
MFSD7B,301,False,False,301,0.007384883,99.2735785307462,306.0,-0.0002852546716314861
MFSD7C,83,False,False,83,0.0020513562,99.79969108987355,85.0,0.0003559534803828988
MFSD8,191,False,False,191,0.0046819192,99.53904817067286,194.0,0.0001069796085212126
MFSD9,82,False,False,82,0.0020272227,99.80210445023651,84.0,0.00017827458923154994
MGA,2385,False,False,2385,0.06209576,94.24413553431799,2573.0,0.0028397381210160427
MGAM,69,False,False,69,0.0016893522,99.83347813495512,70.0,0.007479377829203643
MGARP,1082,False,False,1082,0.03501786,97.38874408726711,1451.0,0.2457247281873044
MGAT1,1284,False,False,1284,0.032194227,96.9012452939473,1334.0,0.0024788370934453155
MGAT2,1557,False,False,1557,0.038855102,96.24239791485665,1610.0,0.0020752794764206453
MGAT3,567,False,False,567,0.0139974905,98.63162467419635,580.0,0.003271589629347835
MGAT4A,322,False,False,322,0.008133024,99.22289796312386,337.0,0.0010680186218045451
MGAT4B,1083,False,False,1083,0.026812434,97.38633072690415,1111.0,0.0011862104942342241
MGAT4C,84,False,False,84,0.0020754898,99.79727772951057,86.0,0.0010545583891954674
MGAT5,605,False,False,605,0.01513177,98.53991698040352,627.0,0.003489038703053616
MGAT5B,164,False,False,164,0.0039820448,99.60420890047303,165.0,0.0023004724827810977
MGEA5,5538,False,False,5538,0.1516073,86.63481030987548,6282.0,0.0043624437983962325
MGL2,7,False,False,7,0.00016893522,99.98310647745922,7.0,-0.0001608500622457125
MGLL,553,False,False,553,0.0139250895,98.66541171927791,577.0,0.017817614746280405
MGME1,770,False,False,770,0.019210348,98.14171252051355,796.0,0.0023798112476597177
MGMT,253,False,False,253,0.006274737,99.38941982816874,260.0,0.00021261857515538347
MGP,276,False,False,276,0.006805676,99.33391253982045,282.0,0.007999956895425635
MGRN1,1426,False,False,1426,0.035476398,96.55854812240564,1470.0,0.0022118618955829826
MGST1,863,False,False,863,0.021478908,97.9172700067574,890.0,0.005436097299466231
MGST2,69,False,False,69,0.0016893522,99.83347813495512,70.0,0.006841328067371245
MGST3,1111,False,False,1111,0.028743122,97.318756636741,1191.0,0.061918360628021196
MHRT,3,False,False,3,7.240081e-05,99.99275991891109,3.0,-7.213018033256572e-05
MIA,156,False,False,156,0.0039337776,99.62351578337677,163.0,0.0278010653286962
MIA2,3,False,False,3,9.6534415e-05,99.99275991891109,4.0,-7.541255474056504e-05
MIA3,2569,False,False,2569,0.066198476,93.80007722753162,2743.0,0.0035793354683074517
MIAT,1128,False,False,1128,0.03134955,97.27772951057052,1299.0,0.06328117680953904
MIB1,2374,False,False,2374,0.060382277,94.27068249831065,2502.0,0.0038761017589892936
MIB2,836,False,False,836,0.020875568,97.98243073655757,865.0,0.0016056565672395774
MICAL1,1626,False,False,1626,0.04146153,96.07587604981175,1718.0,0.012486427821752482
MICAL2,117,False,False,117,0.002871899,99.71763683753258,119.0,0.00113727633602751
MICAL3,417,False,False,417,0.010232648,98.99362872864175,424.0,0.0016048198125076544
MICALCL,59,False,False,59,0.0014238827,99.85761173858481,59.0,0.001967109589602342
MICALL1,900,False,False,900,0.022323584,97.82797567332754,925.0,0.004154894746302855
MICALL2,311,False,False,311,0.0076986197,99.24944492711651,319.0,0.0038196857028087966
MICU1,1686,False,False,1686,0.042716477,95.9310744280336,1770.0,0.00388082335511128
MICU2,3755,False,False,3755,0.09834444,90.93783183704991,4075.0,0.0044942795090782105
MICU3,426,False,False,426,0.010618785,98.97190848537504,440.0,0.0003402570007260224
MID1,184,False,False,184,0.004633652,99.55594169321364,192.0,0.0010280952235144853
MID1IP1,722,False,False,722,0.018003669,98.2575538179361,746.0,0.008218818505390586
MID2,99,False,False,99,0.0024616276,99.76107732406602,102.0,0.0009207104212103189
MIDN,4809,False,False,4809,0.12752196,88.39415001448016,5284.0,0.011490677030819017
MIEF1,690,False,False,690,0.017062457,98.33478134955112,707.0,-0.0005824815154486763
MIEF2,433,False,False,433,0.010618785,98.95501496283426,440.0,0.0010035209298772845
MIEN1,1829,False,False,1829,0.047108795,95.58596389612897,1952.0,0.009404156507337514
MIER1,3455,False,False,3455,0.09004247,91.66183994594073,3731.0,0.002340006857241635
MIER2,808,False,False,808,0.019813688,98.05000482672072,821.0,0.0004471113499499455
MIER3,1601,False,False,1601,0.040665124,96.136210058886,1685.0,0.001650853025211817
MIF,3063,False,False,3063,0.07882035,92.60787720822474,3266.0,0.012096053029633704
MIF4GD,542,False,False,542,0.013442418,98.69195868327058,557.0,0.0033922093250158907
