gene,pearson_r,p,percent_cell,imp_sumup_norm
STARD5,0.0240549723675795,0.2114694501742771,0.0643647334897754,0.025181185
DFFA,0.0240401408257563,0.2117512653647426,0.2202480724103251,0.3003149
FMNL3,0.0240043096861081,0.2124332145597232,0.0784445189406637,0.08464736
DCDC2B,0.023998366204787,0.2125464858481921,0.0576600737512571,0.03881561
CDH5,0.0239952885403287,0.2126051573256018,0.0868253436138116,0.06548445
GM37401,0.0239781107970471,0.212932842303027,0.0737512571237009,0.031808704
SEPT10,0.0239644129014139,0.2131944062938886,0.0489440160911833,0.021068128
2810454H06RIK,0.0239575976945638,0.2133246303187408,0.0110626885685551,0.0073942794
EQTN,0.0239356501270141,0.2137443912914323,0.0110626885685551,0.007909049
SCLY,0.0239326967124305,0.2138009226291921,0.1357693597049949,0.10971432
BLNK,0.0238966605393131,0.2144915598012822,0.0821320817968488,0.15183641
C030034L19RIK,0.0238885041917958,0.2146480999536272,0.0134093194770365,0.0067888065
BARD1,0.0238848624754617,0.214718019925045,0.0083808246731478,0.0067158113
TNS1,0.0238630859246109,0.2151364662802977,0.1468320482735501,0.6247966
TWIST2,0.0238629814581477,0.2151384750655354,0.0325175997318136,0.009912961
MAGEB18,0.0238604152786953,0.2151878243614471,0.0020113979215554,0.0037500781
CCDC153,0.0238585970421641,0.2152227951637151,0.0315119007710358,0.121945105
RNF207,0.0238569649899384,0.2152541885012178,0.0429098223265169,0.042887572
THPO,0.0238474058197176,0.2154381301235942,0.0315119007710358,0.043836277
N6AMT1,0.0238465026386453,0.2154555153680651,0.2011397921555481,0.3744861
KLHL25,0.0238448099865103,0.2154880997846157,0.1096211867247737,0.26986054
GM35986,0.0238216963311861,0.2159334044889609,0.0010056989607777,0.0041102385
C87436,0.0237977402296349,0.2163956381772975,0.1940998994301039,0.27359816
ZFP341,0.0237927671111032,0.2164916838036157,0.1109621186724773,0.04174656
1700052K11RIK,0.0237809335424198,0.2167203482987273,0.0831377807576265,0.14359163
PTH2R,0.0237703024738133,0.2169259245089841,0.0043580288300368,0.0065005417
SMC2,0.0237534260356733,0.2172525572473793,0.1146496815286624,0.1431433
NEUROD4,0.0237497845504869,0.2173230822291562,0.0050284948038887,0.005773997
AU022754,0.023727859503224,0.2177480544960374,0.0147502514247401,0.006792261
GM14285,0.0237127148244473,0.2180419516447851,0.0472678511565538,0.25590137
ZFP40,0.0236622092102171,0.219024121405182,0.1334227287965135,0.16560224
GM35501,0.0236579166239116,0.2191077444092468,0.0070398927254441,0.0059716357
SLC30A10,0.0236563327936369,0.2191386044720642,0.1619175326852162,0.26788187
PPP1R3F,0.0236282793847794,0.2196857267384542,0.2095206168286959,0.27631512
NFS1,0.0236242565250792,0.2197642643478174,0.1806905799530674,0.9630137
RPP30,0.0236155193491715,0.219934908117815,0.2252765672142138,0.44971007
UTP11,0.0235788094806835,0.2206529184545164,0.2668454575930271,0.43689877
LINS1,0.0235581183488432,0.2210583569821056,0.1072745558162923,0.13638629
GM13830,0.0235265673545372,0.2216776192966493,0.050284948038887,0.01336903
UTP15,0.0235097716948745,0.2220077797164838,0.1850486087831042,0.23492299
KNTC1,0.0235028644495273,0.2221436608823112,0.0392222594703318,0.03568347
NUF2,0.023502236562569,0.2221560157922948,0.0496144820650352,0.09677219
NTN4,0.0234990102338216,0.2222195079078369,0.0375460945357023,0.07362704
BRF1,0.0234921303475808,0.2223549431041013,0.248072410325176,0.38245445
OAZ3,0.0234818160513096,0.2225580976199179,0.0023466309084813,0.0039197565
ZFP763,0.023474792008757,0.2226965219722305,0.1692926583975863,0.31681702
CCDC173,0.023434744048113,0.2234869327237546,0.0653704324505531,0.114674754
GM34821,0.0234148509334053,0.2238802999516168,0.0181025812939993,0.0071203285
SMIM3,0.0233869219084575,0.2244334042167987,0.1112973516594032,0.34189156
PLEKHA2,0.0233693079673656,0.2247827308661797,0.1451558833389205,0.30517402
EPM2A,0.0233679589010322,0.2248095020821591,0.2024807241032517,0.49529144
GM20234,0.0233439495619148,0.2252863303867495,0.0087160576600737,0.006403032
FAM50A,0.0233183155664915,0.225796220886897,0.1622527656721421,0.33897334
MSI1,0.023303516520849,0.2260909660199507,0.1652698625544753,0.14332624
GM19531,0.0232968004477852,0.2262248171515219,0.1679517264498826,0.26301548
NCAPG2,0.0232444795872562,0.2272695056149077,0.0328528327187395,0.011347253
INTS9,0.0232075612172816,0.228008718675901,0.1733154542406972,0.6143954
CAAA01118383.1,0.0232065692279128,0.228028604776972,0.1900771035869929,0.27774665
TUBGCP4,0.0231417627893271,0.229330435939077,0.2122024807241032,0.54456466
HAAO,0.0231252311322949,0.2296633682394109,0.0013409319477036,0.0053478666
MNDAL,0.0231224323517341,0.2297197670916176,0.0284948038887026,0.009709246
GM20636,0.0230905818387825,0.2303622876148854,0.0063694267515923,0.005682624
TCHH,0.023080930512644,0.230557235710507,0.0358699296010727,0.011585247
GM20649,0.023073915789926,0.2306990003231205,0.0030170968823332,0.0042223916
SRPK3,0.0230456315450633,0.2312712412272045,0.0600067046597385,0.068427935
VEPH1,0.0230284330643567,0.2316196895805881,0.0046932618169627,0.0053980686
VIT,0.0230205073408212,0.2317803933906358,0.0318471337579617,0.012862397
