Gene,Wasserstein_Distance
1700019D03RIK,0.009786467943768116
1700019G17RIK,0.008682074863352335
1700019G24RIK,0.0020294517994388123
1700019L03RIK,0.0014047839939133069
1700019N19RIK,0.00015140486437227897
1700020D05RIK,0.0004460317077274832
1700020I14RIK,0.44663536084176736
1700020L24RIK,0.00025716447467823324
1700021F05RIK,0.05610759824910813
1700021J08RIK,0.00018999211636710513
1700021K19RIK,0.02777137155254952
1700021N21RIK,0.0006451314557514884
1700022I11RIK,0.003702545986507245
1700022N22RIK,0.00021263022722646917
1700023E05RIK,0.0007006078866863471
1700023F02RIK,0.00022919935265172997
1700023F06RIK,0.005237007380415979
1700024G13RIK,0.0006611414070901345
1700024P16RIK,0.002391641223883927
1700025F24RIK,0.00017693648627968247
1700025G04RIK,0.2361353073328303
1700026D08RIK,0.003258983204536808
1700026J14RIK,0.0006507010632257937
1700026L06RIK,0.0006843376175405341
1700027A07RIK,0.002393640918533918
1700027A15RIK,0.00025363352564933386
1700027H10RIK,0.0012028719988428098
1700028E10RIK,0.0018726794423067636
1700028J19RIK,0.0008003975433244191
1700028K03RIK,0.002822226170818911
1700028P14RIK,0.0021527526895686695
1700029I15RIK,0.005761904060460351
1700029J07RIK,0.0031325785390040823
1700030C10RIK,0.0019365851352263629
1700030C12RIK,0.0003823327215684698
1700030C14RIK,0.000544034833427138
1700030F04RIK,0.0010705650750398867
1700030J22RIK,0.0100056677692381
1700030K09RIK,0.010867205313636295
1700030M09RIK,0.00013987296443841463
1700031P21RIK,0.00018621041620354146
1700034E13RIK,9.474169102006745e-05
1700034H15RIK,0.0015779431862930579
1700034I23RIK,5.4297572764146745e-05
1700034P13RIK,0.0010284194746472428
1700036A12RIK,0.0003586881496096859
1700037C18RIK,0.005806372902299618
1700037H04RIK,0.035311194284432086
1700040D17RIK,0.0025351215762986746
1700040L02RIK,0.001539323782851937
1700041G16RIK,0.0006256177641408957
1700045H11RIK,0.0001811865330528369
1700047A11RIK,0.0008416313609965272
1700047F07RIK,0.0010231046948964333
1700047K16RIK,0.0003878051898021396
1700047M11RIK,0.025636428503927267
1700048M11RIK,0.0001380748061716849
1700048O20RIK,0.005421605409293114
1700049G17RIK,0.0082865783078001
1700049J03RIK,0.0004855987984220364
1700051A21RIK,0.00023785208210622174
1700051O22RIK,0.00025307317486407085
1700052K11RIK,0.01144461494367898
