g,imp_sumup_norm,I,LLR,n_cells_by_counts_norm
WFS1,0.19504999,0.2142235633563471,3316.801883694452,0.041755070864805226
TNNT1,0.6266124,0.2330848206000087,3300.3320466652003,0.07742793289767745
RBP2,0.0017614231,-0.0001124924129171,3294.52416824938,0.00014144671702169792
RARRES2,0.075173974,0.2618203296897011,3248.4843935984354,0.027497241789018075
KL,0.007892559,0.2082837445776731,3214.055765146128,0.009448640697049421
SNCA,0.5610393,0.1979818920105567,3104.900705332584,0.22173187360321367
TMSB4X,0.47000486,0.1631430486323491,3095.2978072172045,0.6155195337916207
NCDN,0.45744133,0.1790935939997342,3078.5459105453265,0.45526040340603696
FIBCD1,0.1571579,0.2148169940632501,3052.7373776963577,0.033579450620951086
DRC7,0.006496816,0.1816870920220387,2994.805062016854,0.009052589889388667
CAMK2B,0.4344405,0.1825469509860793,2990.2817506309366,0.3120031684064613
MOBP,0.55362684,0.2928116833147818,2956.728328132529,0.3340122775750375
CHGB,0.44513813,0.2018202793265582,2916.6162748890056,0.2702480975416561
GRIA2,0.3595018,0.2043989942210266,2885.6915169258064,0.256329740586721
ATP2B1,0.4206678,0.218025715934313,2842.794664616951,0.28807038388639
SNAP25,0.52011156,0.2343147587280793,2822.7830855895736,0.6012334153724292
TAC1,0.19814369,0.2122757553517607,2818.1799881812804,0.01977425103963337
F5,0.0032289233,0.2494604879116237,2810.9734921023046,0.004696031005120371
CALM2,0.36656794,0.1869798354598645,2800.460815257109,0.6231576565107924
ITPKA,0.27589253,0.1785359703372585,2781.2172567703383,0.09906928060199723
SYNPR,0.24579777,0.1937463500177412,2760.0306006406136,0.060765509632521426
FAM131A,0.25981945,0.1793780008330429,2740.324305413873,0.1555065206936547
CAMK2N1,0.7008806,0.1803100724403431,2738.742677582959,0.5676256754080737
GFRA1,0.09578253,0.1597585121953507,2733.0123635553355,0.038501796373306175
SYT6,0.0820108,0.1881301082222552,2727.077231114225,0.018784124020481484
COL9A3,0.114959754,0.1487822913356092,2682.425164901797,0.03482418173074203
HS3ST4,0.5630912,0.1736950408332883,2679.4222151073227,0.09114826444878214
SPARC,0.6875403,0.2056106911871326,2669.645308101361,0.2674191632012221
CHRNA3,0.023692403,0.1832840517409083,2662.330771513749,0.008967721859175649
PCP4L1,0.3847373,0.193582990373895,2660.6585713332897,0.1923958244929135
DKK3,0.4457198,0.1795275503869516,2628.5243425370863,0.13428951314040002
H2-AB1,0.047434926,0.321912784431307,2579.343488725499,0.0023480155025601855
KCNIP1,0.088641495,0.158372817407526,2526.968268174205,0.03632351693117203
ENC1,0.30475175,0.1759406450477595,2508.0271846277465,0.18554980338906335
MSX1,0.0053078416,0.1424229126231897,2503.144148757019,0.010438767716201306
GABRA5,0.18938345,0.1626254673905584,2494.7595152220383,0.06998783558233614
PTGDS,0.6496323,0.2884972447369692,2479.97647996476,0.4546380378511415
GM15640,0.0016896718,-0.0001086331501828,2475.5551323170657,0.00011315737361735834
RTN1,0.37336802,0.1767674234644337,2472.141873389577,0.3610286005261818
RBFOX1,0.49439555,0.1695132728152364,2470.635449132831,0.2361877280828312
H2-AA,0.008022605,0.3115996125013826,2451.78135119364,0.0018670966646864126
PPP3R1,0.3832659,0.156861688120992,2434.588315291956,0.27381255481060285
