,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
SPAG5,0.012175383443778845,0.004251080015223008,2.1633067873231203e-05,0.0005055284968312757,0.019801980198019802,1.319441034391591e-05,,,0.047602207228569206
IGSF1,0.012163775820514658,0.004282404167077591,2.1633067873231203e-05,0.0006170669796397021,0.019801980198019802,1.4711585047898225e-05,,,0.047602207228569206
PLCB3,0.01215975771968343,0.004293295334242164,2.1633067873231203e-05,0.0008322330573089509,0.009900990099009901,1.4098230628014046e-05,,,0.026997558948243388
ARHGAP29,0.01215954184976136,0.004293881155579493,2.1633067873231203e-05,0.004455005778356669,0.039603960396039604,1.9023357930098918e-05,,,0.08291183019372819
MDK,0.012157539350000803,0.004299318886547776,2.1633067873231203e-05,0.0009914165240303419,0.009900990099009901,1.4783848368375676e-05,,,0.026997558948243388
METTL18,0.012153680287977574,0.004309815424907826,2.1633067873231203e-05,0.0001418970167638145,0.009900990099009901,1.1939558833754649e-05,,,0.026997558948243388
CBX4,0.012151585294102003,0.00431552333672347,2.1633067873231203e-05,0.0018436701970143687,0.009900990099009901,1.685038161024384e-05,,,0.026997558948243388
NBR1,0.01214819526620214,0.0043247739459375545,2.1633067873231203e-05,0.0003902348036096681,0.009900990099009901,1.2851334727842943e-05,,,0.026997558948243388
SLC12A6,0.012146449019774398,0.004329545965156778,2.1633067873231203e-05,0.0007042933422390929,0.009900990099009901,1.4706367595736193e-05,,,0.026997558948243388
DENND1A,0.01214444668640072,0.0043350235924901614,2.1633067873231203e-05,0.000135111163361068,0.009900990099009901,1.1322126138011937e-05,,,0.026997558948243388
TRIM56,0.012142648380929431,0.004339948355137735,2.1633067873231203e-05,0.00014411117707269216,0.009900990099009901,1.0246736954411534e-05,,,0.026997558948243388
MEIS3,0.0121424335775542,0.004340536940679374,2.1633067873231203e-05,0.0010573049849466054,0.009900990099009901,1.294974336873799e-05,,,0.026997558948243388
ENKD1,0.012134408150698762,0.004362578707644782,2.1633067873231203e-05,0.0009306612721917684,0.009900990099009901,1.3718712281363683e-05,,,0.026997558948243388
CYTH3,0.012132288785730772,0.0043684161960495516,2.1633067873231203e-05,0.0002289596416861217,0.009900990099009901,1.1576500295859911e-05,,,0.026997558948243388
CIAPIN1,0.012131951594900532,0.004369345583406847,2.1633067873231203e-05,0.00033705981726850354,0.009900990099009901,1.3313199273486758e-05,,,0.026997558948243388
GM26787,0.012130567574092557,0.0043731621631103446,2.1633067873231203e-05,9.274985062202035e-07,0.009900990099009901,6.944064918181759e-06,,,0.026997558948243388
JOSD1,0.012130123866820112,0.004374386362001048,2.1633067873231203e-05,0.00025824276876962315,0.009900990099009901,1.2891165216051381e-05,,,0.026997558948243388
MBD3,0.012117499569419937,0.004409345648198171,2.1633067873231203e-05,0.00034674936431700054,0.009900990099009901,1.3491166007466108e-05,,,0.026997558948243388
TGFB1,0.012114494113512632,0.004417705073868627,2.1633067873231203e-05,0.000998987054077416,0.039603960396039604,1.4458672493826515e-05,,,0.08291183019372819
SPAG4,0.012114374862517553,0.004418037052433821,2.1633067873231203e-05,0.0006741374741708883,0.019801980198019802,1.2917487259548107e-05,,,0.047602207228569206
NXPE3,0.012110965513542498,0.004427537648623803,2.1633067873231203e-05,0.00021161425752858065,0.009900990099009901,1.1752216009505435e-05,,,0.026997558948243388
TFIP11,0.012109898724351689,0.004430514142560016,2.1633067873231203e-05,0.0005189674127066279,0.009900990099009901,1.3723212479261601e-05,,,0.026997558948243388
GNPAT,0.012107588807175398,0.004436965267261894,2.1633067873231203e-05,0.0009451948287693135,0.009900990099009901,1.5199921869115803e-05,,,0.026997558948243388
METTL14,0.012105892462749136,0.004441708151438295,2.1633067873231203e-05,0.0007337988593890676,0.009900990099009901,1.365371874926753e-05,,,0.026997558948243388
MLLT10,0.01210569977223347,0.004442247189675563,2.1633067873231203e-05,0.0001687260345673014,0.009900990099009901,1.2046303542336212e-05,,,0.026997558948243388
CCDC115,0.012104149673886714,0.004446585607574938,2.1633067873231203e-05,0.0007562207486825345,0.009900990099009901,1.3944441172458909e-05,,,0.026997558948243388
PSMD5,0.012103958824494809,0.004447120018764683,2.1633067873231203e-05,0.0004440278070430015,0.0297029702970297,1.1920879646552718e-05,,,0.06585794677977196
ETNK2,0.012101788006221227,0.004453202722863869,2.1633067873231203e-05,0.0008397537332825999,0.009900990099009901,1.4418246041716027e-05,,,0.026997558948243388
GALNT14,0.012097789616131224,0.004464425795320359,2.1633067873231203e-05,9.845297582899981e-05,0.009900990099009901,1.0191792501724045e-05,,,0.026997558948243388
MZT2,0.012091667624433436,0.004481658555379631,2.1633067873231203e-05,0.0002724986993478673,0.009900990099009901,1.230227215119003e-05,,,0.026997558948243388
ABCA3,0.01209102151988139,0.00448348073262872,2.1633067873231203e-05,0.00022695172949316333,0.009900990099009901,1.1130374375345322e-05,,,0.026997558948243388
B4GALNT4,0.012088223190963003,0.004491380364327058,2.1633067873231203e-05,0.0003415467292804397,0.009900990099009901,1.183798627227889e-05,,,0.026997558948243388
9530059O14RIK,0.012087472285248898,0.0044935022716354744,2.1633067873231203e-05,0.00023815733753895785,0.009900990099009901,1.1333138949124135e-05,,,0.026997558948243388
PBX4,0.012078322518249656,0.0045194296636204,2.1633067873231203e-05,0.0003089272454877001,0.009900990099009901,1.2588979104450984e-05,,,0.026997558948243388
CYB5D2,0.012077340510976033,0.004522220267339838,2.1633067873231203e-05,0.000156479391892006,0.009900990099009901,1.1010498087713432e-05,,,0.026997558948243388
GM26782,0.012075297898154381,0.004528029759048979,2.1633067873231203e-05,0.00019747692408711437,0.009900990099009901,1.1797521152602944e-05,,,0.026997558948243388
PRMT1,0.012071687373087246,0.004538314924935727,2.1633067873231203e-05,0.0001127921580753588,0.009900990099009901,1.0844204546627215e-05,,,0.026997558948243388
SCYL1,0.012069319329893309,0.004545072001005401,2.1633067873231203e-05,0.00020941659520778977,0.009900990099009901,1.1468668463787767e-05,,,0.026997558948243388
