g,imp_sumup_norm,I,LLR,n_cells_by_counts_norm
COL1A2,0.7026612,0.3016012049038286,4622.230222863735,0.5737574264599333
MYLPF,0.6982938,0.4381060584288124,7893.773317393094,0.08336955996715452
KCTD12,0.69822454,0.1072576854281068,1452.6524978423697,0.08720958315220016
PENK,0.69748324,0.2345306337084629,3675.8081708863065,0.07064193595131141
FLRT2,0.68354714,0.0958135950705945,1177.0901847769746,0.09438245664879485
IRX1,0.6792901,0.1001074061357084,1439.6352668963482,0.03992175047094624
TFAP2B,0.6788235,0.2089068857500123,2764.47452261256,0.06310679611650485
APOE,0.67644346,0.3080763794191492,5454.802098177759,0.14980920639520842
MEOX2,0.66580755,0.1378803459655166,2089.244225013201,0.04226440612471623
EBF3,0.6620021,0.106404201472428,1341.1449087063083,0.06501473216442062
LUM,0.65626323,0.109132061524835,1366.9580735315794,0.08346616432401101
FOXP1,0.6553056,0.0799910777990861,946.2962201756818,0.10756895135970632
RBP1,0.6516545,0.0559558628446166,697.6153774453051,0.16449306863739555
BCL11B,0.647369,0.1221064270464922,1584.5037000889752,0.08117181084866927
TPM2,0.6399086,0.2986581591328042,5284.170250625091,0.1318407960199005
COL9A2,0.6328937,0.2860659984860679,5120.8336326670615,0.06750229435347534
PITX2,0.6306469,0.1051975634494696,1212.3227927495643,0.03047867458822393
TIMP3,0.62711126,0.0695600571229823,680.422397621951,0.10674781432642612
ZFP503,0.6264399,0.0390092666562204,384.3465076589746,0.08626769067284934
SULF1,0.62313867,0.1116640599341819,1466.6289172596007,0.09532434912814568
LECT1,0.6219999,0.1994026395477819,3196.1881796816924,0.009998550934647153
MPPED2,0.619539,0.0821465104842663,1080.258479724558,0.06750229435347534
S100A10,0.61912847,0.091233484494343,1006.9684003661314,0.15364922958025407
KRT14,0.61851615,0.3282591068364577,5156.902547389489,0.07177703714437521
