g,imp_sumup_norm,I,LLR,n_cells_by_counts_norm
SLC4A1,0.20253958,0.3340911498430415,5780.318237767293,0.0871371298845578
ALAD,0.18344854,0.3017378129725485,5569.040236166435,0.1290634207602763
MSX1,1.0248656,0.3335174781935702,5516.901513535035,0.06045017630295126
APOC2,0.03741201,0.3395063373574418,5466.237841334485,0.04861614258803072
APOE,0.67644346,0.3080763794191492,5454.802098177759,0.14980920639520842
TMPRSS11E,0.0024987638,-6.41219268941122e-05,5382.228744986118,7.245326764237067e-05
MT1,0.06753072,0.3153462862348087,5361.321446475977,0.06144037096073033
TPM2,0.6399086,0.2986581591328042,5284.170250625091,0.1318407960199005
CDKN1C,0.8528091,0.2785779871402953,5245.722118270613,0.673960295609332
MGARP,0.18898834,0.3019405925363456,5215.799591511464,0.026059025262039317
KRT17,0.43977645,0.3306962937093943,5183.122829107306,0.020673332367289764
