Gene,Wasserstein_Distance
1700048F04RIK,0.0021065591072173605
1700052K11RIK,0.02135022029485343
1700055D18RIK,0.0028961165920819236
1700056E22RIK,0.0024509297306509288
1700056N10RIK,0.00884452629533004
1700057G04RIK,0.0004396193967091311
1700057H15RIK,0.005191140174261236
1700060O08RIK,0.05195939066559147
1700061G19RIK,0.027223953325119073
1700061I17RIK,0.1359070880021485
1700061J23RIK,0.0012858095930422238
1700063D05RIK,0.030962717734531315
1700064H15RIK,0.005730027032227841
1700064J06RIK,0.0005227374888577385
1700064M15RIK,0.0021040271302778892
1700065D16RIK,0.0009783610476678756
1700066B19RIK,0.010083624054810038
1700066M21RIK,0.11357225664464306
1700067K01RIK,0.0016869164353139903
1700069B07RIK,0.0008463639326921532
1700069L16RIK,0.0006386484607836248
1700080G11RIK,0.0009313135038937858
