gene,pearson_r,p,percent_cell,imp_sumup_norm
B230219D22RIK,0.023454496130882744,0.015082399512973183,0.07270361254915274,0.15938571
GRM7,0.02343712505051597,0.01515749921613012,0.060510905541882376,0.15121618
FBXL19,0.023436185063684924,0.015161572398106312,0.0287985515856177,0.050435565
GM15728,0.023434266493388152,0.015169889001402932,0.0042151121672465985,0.0057959673
FGFR1OP2,0.023431264039520096,0.015182912076144781,0.06283063170103823,0.09459114
NDST3,0.02341805181606652,0.015240336828256668,0.013097965996209228,0.034109615
CREB5,0.02340616924915931,0.015292145669247411,0.010382189029392627,0.04934947
GREM1,0.023402076899788682,0.015310024462308875,0.0024894622195818835,0.0032195689
RAVER2,0.023401233386200607,0.015313711919009244,0.026818297547313928,0.065575615
SYBU,0.02340039577920945,0.015317374328330005,0.06373589068997708,0.16159831
ZFP638,0.023391885842329492,0.015354627480416261,0.09689100115986309,0.15415654
AAMDC,0.023390441798904045,0.015360956841685015,0.07126085603553141,0.18457747
BMYC,0.023389090025632307,0.01536688385606555,0.07007270361254915,0.12809946
THRB,0.023387293438901093,0.015374764324469855,0.02998670400859996,0.09083868
PSIP1,0.023376312232840202,0.015423009155791747,0.1829471837958641,0.21890533
MREG,0.023364152799275124,0.015476585803741588,0.0022065687855384875,0.0031048586
KCNJ2,0.02336164968876017,0.015487635263100895,0.006082208831933011,0.004742036
ITGA7,0.023356118141125447,0.015512077749245026,0.01287165124897451,0.0104986625
IER2,0.02334299829883689,0.01557018672544898,0.01909530679792922,0.032940187
CAPN5,0.02334274820747168,0.015571296260479903,0.022150555885597896,0.033433937
CSDC2,0.023329694009967605,0.015629308116376184,0.06461286033551161,0.13737479
PINK1,0.023319053734304304,0.015676733241383564,0.27140796062123396,0.33112174
GLIS3,0.02330692618949414,0.015730941639167304,0.00891114317236697,0.009163699
KLF13,0.023305097749669754,0.015739128790282608,0.056154346657614075,0.12098934
SRXN1,0.023303198347368652,0.015747637656283266,0.09338312257772498,0.16175121
PRKAR2B,0.0232997501573708,0.015763095058542554,0.028741972898809018,0.025901299
RBMS3,0.023293464820803668,0.015791305034733978,0.04028402500777957,0.10529597
TMEM256,0.023275018668069955,0.01587435194080505,0.08976208662196951,0.17711845
CHD2,0.023264102760149865,0.015923677392605213,0.06311352513508162,0.13139792
TPST1,0.023228913902659007,0.016083602971916307,0.023423576338793176,0.025724
HAP1,0.023225939701753774,0.016097184537519172,0.054145803275905964,0.14306805
ASTN2,0.023217181540814685,0.01613723687896366,0.025290673003479588,0.074260026
CTNNA2,0.02321334916537312,0.016154790417149616,0.1328467566267787,0.19308075
RIMS3,0.02321271113109984,0.016157714452450733,0.0668194291210501,0.14539656
SEL1L,0.023212087799663796,0.016160571555539308,0.06735692664573255,0.096231535
AKAP12,0.02321162245163083,0.016162704815052744,0.023055814874536763,0.048031323
SOD2,0.0231899043537019,0.016262541116784362,0.07544767885937367,0.15950182
RHEB,0.023183809417820007,0.01629065622235856,0.12452968966590286,0.1610055
NPM1,0.023183180036037743,0.016293561905555972,0.15262100766641207,0.23926026
TMEM209,0.023181993174943676,0.016299042556960214,0.015785453619621487,0.010865378
ADGRV1,0.023177787320305468,0.01631847726706689,0.004696031005120371,0.0056297597
ANXA5,0.02317594485981705,0.01632699744938003,0.09601403151432855,0.27352405
TIMM13,0.023173147777012956,0.016339939609468515,0.15502560185578093,0.20673738
CLUAP1,0.0231662249910751,0.016372010247228994,0.051599762369515405,0.16329446
NUP62,0.02316217728472514,0.016390787338611334,0.024385414014540724,0.013175494
PRDX2,0.023128288252560553,0.016548740346319608,0.20079775948400239,0.20941874
U2SURP,0.023125327025344044,0.016562605590066736,0.09451469631389856,0.11627834
TMEM243,0.023117875140289273,0.016597542418252936,0.015445981498769414,0.01983974
ZFP362,0.023113185827573483,0.016619560578210884,0.010665082463436023,0.006171108
SIPA1L2,0.0231110245459362,0.01662971727324718,0.03923731930181901,0.06469956
SLC52A2,0.02311068236188776,0.01663132582757104,0.008571671051514894,0.0058748494
CBX3,0.023102901414840678,0.016667939746295584,0.009165747263006025,0.007684317
C130026L21RIK,0.0230959002619503,0.016700944741400537,0.004809188378737729,0.003850434
MTHFD1L,0.02309337857676947,0.016712846573884294,0.007836148123002065,0.0077830646
EXOC8,0.02307326530729681,0.01680804388682806,0.021018982149424312,0.05374557
TGM2,0.023071453753224624,0.01681664139965493,0.003677614642564146,0.004647875
TOM1L2,0.023071360801196452,0.01681708264775957,0.11380802851565815,0.22735807
TMEM132A,0.023065673866444703,0.016844098159851776,0.03895442586777561,0.023762472
EID1,0.023063277976899343,0.016855491117649404,0.22492856940790404,0.33993974
ADK,0.02306045307202889,0.016868932820871724,0.04879911737248578,0.1410768
PPP2R5C,0.02304534423552092,0.0169409848047779,0.16040057710260544,0.25384423
HSBP1,0.02303749209487681,0.016978537130190065,0.29361509519364054,0.31001705
ZRANB1,0.02303081770397806,0.017010514355224392,0.06404707346742482,0.10051406
HINT1,0.023027467410393812,0.017026585631440307,0.21035955755466915,0.26731002
FAM169A,0.023013754059701148,0.017092507181537018,0.03069393759370845,0.022036828
SON,0.023009969005550468,0.017110741726273627,0.1417296104557413,0.23680672
CRHR1,0.023009328827976117,0.017113827476153923,0.00817562024385414,0.0049751666
RBM41,0.02300785359758812,0.017120940161853854,0.007355229285128292,0.0051095327
USP20,0.02300198026017327,0.017149283630023434,0.059124727715069735,0.066955246
