,n_cells,mt,ERCC,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,imp_sumup,imp_sumup_norm,imp_sumup_Sc,imp_sumup_norm_Sc,imp_sumup_My,imp_sumup_norm_My,imp_sumup_Ept,imp_sumup_norm_Ept
1500011B03RIK,589,False,False,589,0.0146973645,98.57853074621103,609.0,0.024092726,0.026561426,0.18459554,0.01182266,0.06766647,0.006216185,10.709338,0.16209106
1500011K16RIK,803,False,False,803,0.020103293,98.06207162853558,833.0,0.032696076,0.036046326,0.4124311,0.026414681,0.21600313,0.019843144,1.6724477,0.025313314
1500012F01RIK,6162,False,False,6162,0.1697799,85.12887344338257,7035.0,0.21099363,0.23261343,4.3539743,0.27885592,1.831832,0.16828138,8.948034,0.13543287
1500012K07RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,0.0025049585,0.002761633,0.0019453011,0.00012458932,0.029805098,0.0027380474,0.00883012,0.00013364817
1500015A07RIK,370,False,False,370,0.009074235,99.10705666570132,376.0,0.012995252,0.014326831,0.11108065,0.0071143038,1.5616221,0.14345855,0.5739882,0.008687591
1500015O10RIK,37,False,False,37,0.00089294335,99.91070566657014,37.0,0.0029263315,0.0032261827,0.008591869,0.00055027736,0.09164848,0.008419294,0.008867328,0.00013421135
1500017E21RIK,21,False,False,21,0.00050680566,99.94931943237765,21.0,0.0033190683,0.0036591617,0.005351359,0.0003427347,0.0025618076,0.00023534065,0.008924536,0.00013507722
1500026H17RIK,11,False,False,11,0.00026546963,99.97345303600733,11.0,0.0032013084,0.0035293356,0.0022483105,0.00014399595,0.0036758918,0.00033768607,0.008693238,0.0001315764
1520401A03RIK,83,False,False,83,0.0020996234,99.79969108987355,87.0,0.0031731615,0.0034983044,0.005423288,0.00034734147,0.16365291,0.015033986,0.008892357,0.00013459017
1600002D24RIK,8,False,False,8,0.00019306883,99.98069311709624,8.0,0.0023678013,0.0026104217,0.0028134056,0.0001801882,0.0016029286,0.00014725316,0.008794306,0.0001331061
1600002H07RIK,1116,False,False,1116,0.028212182,97.30668983492615,1169.0,0.02791595,0.030776402,0.39213836,0.02511501,0.19181447,0.01762105,1.6555986,0.025058294
1600002K03RIK,374,False,False,374,0.00924317,99.09740322424945,383.0,0.0066843797,0.007369305,0.111068115,0.007113501,0.04004873,0.0036790792,0.16326176,0.0024710463
1600010M07RIK,323,False,False,323,0.0079640895,99.22048460276088,330.0,0.0067478605,0.00743929,0.082350336,0.0052742334,0.09664255,0.008878075,0.039954353,0.00060472864
1600012H06RIK,938,False,False,938,0.023337195,97.7362679795347,967.0,0.027930891,0.030792871,0.5883162,0.037679475,0.16218686,0.014899308,2.547733,0.038561184
1600012P17RIK,3,False,False,3,7.240081e-05,99.99275991891109,3.0,0.0022345276,0.0024634919,0.0018813993,0.000120496654,0.0016054729,0.00014748689,0.008942522,0.00013534944
1600014C10RIK,531,False,False,531,0.013587219,98.71850564726326,563.0,0.0367927,0.040562723,0.53586054,0.03431988,0.12497944,0.011481246,2.3432565,0.035466336
1600020E01RIK,815,False,False,815,0.020248093,98.03311130417994,839.0,0.012742758,0.014048464,0.5032997,0.032234482,0.19224617,0.01766071,1.9615899,0.029689621
1600025M17RIK,4,False,False,4,9.6534415e-05,99.99034655854813,4.0,0.0022833634,0.0025173316,0.0018985666,0.000121596146,0.0015960982,0.00014662567,0.00877529,0.0001328183
1700001C19RIK,10,False,False,10,0.00024133603,99.97586639637031,10.0,0.002492915,0.0027483555,0.002628415,0.00016834024,0.0016543326,0.00015197539,0.008656585,0.00013102163
1700001G11RIK,21,False,False,21,0.00053093926,99.94931943237765,22.0,0.0023533911,0.0025945348,0.0028799723,0.00018445155,0.001647042,0.00015130563,0.23659538,0.0035809868
1700001G17RIK,9,False,False,9,0.00021720244,99.97827975673329,9.0,0.0024011577,0.002647196,0.01599654,0.0010245191,0.0015928816,0.00014633017,0.008453359,0.00012794572
1700001J03RIK,4,False,False,4,0.00012066802,99.99034655854813,5.0,0.0023639798,0.0026062087,0.0019277878,0.00012346766,0.0016017923,0.00014714876,0.24508494,0.0037094806
1700001K19RIK,6,False,False,6,0.00014480163,99.98551983782218,6.0,0.0024017608,0.002647861,0.0022748227,0.00014569396,0.0015924517,0.0001462907,0.008617277,0.00013042669
1700001L05RIK,13,False,False,13,0.00031373685,99.9686263152814,13.0,0.002363164,0.0026053092,0.0019496803,0.00012486978,0.0015707503,0.0001442971,1.0521971,0.015925517
1700001L19RIK,56,False,False,56,0.0013756154,99.86485181967372,57.0,0.0040446715,0.004459115,0.01942211,0.0012439142,0.001553208,0.00014268556,0.007526601,0.00011391879
1700001O22RIK,184,False,False,184,0.004512984,99.55594169321364,187.0,0.0046961512,0.00517735,0.118157886,0.0075675743,0.0016676745,0.00015320105,0.8186622,0.012390853
1700001P01RIK,21,False,False,21,0.00050680566,99.94931943237765,21.0,0.0037153608,0.0040960615,0.0024929603,0.00015966488,0.0016619187,0.00015267228,0.008823082,0.00013354166
