,n_cells,mt,ERCC,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,imp_sumup,imp_sumup_norm
NIPSNAP3B,259,False,False,259,0.01261312,98.78557696816243,269.0,0.007173176,0.0068007167
NISCH,3602,False,False,3602,0.2255826,83.11061096262952,4811.0,0.29967195,0.28411183
NIT1,587,False,False,587,0.030243354,97.24762038730248,645.0,0.060709152,0.057556894
NIT2,170,False,False,170,0.008299339,99.20288835748113,177.0,0.005636329,0.005343668
NKAIN1,113,False,False,113,0.0060017817,99.4701552023257,128.0,0.0064541213,0.006118998
NKAIN2,2044,False,False,2044,0.2666573,90.41590472171426,5687.0,0.4235052,0.40151513
NKAIN3,290,False,False,290,0.026820462,98.6402213157031,572.0,0.00773746,0.0073357006
NKAIN4,1043,False,False,1043,0.054016035,95.10948562854597,1152.0,0.2669114,0.25305226
NKAP,470,False,False,470,0.025085572,97.79622075303605,535.0,0.09446528,0.08956026
NKAPL,23,False,False,23,0.0011253341,99.89215548365921,24.0,0.0026547436,0.0025168988
NKD1,184,False,False,184,0.008955784,99.13724386927369,191.0,0.036673725,0.03476948
NKD2,92,False,False,92,0.0048295585,99.56862193463685,103.0,0.004008214,0.003800092
NKIRAS1,1576,False,False,1576,0.084962726,92.61030618464858,1812.0,0.19154142,0.18159583
NKIRAS2,127,False,False,127,0.0061424486,99.40451071411826,131.0,0.0051199063,0.0048540607
NKPD1,14,False,False,14,0.00065644487,99.93435551179256,14.0,0.0027787094,0.0026344277
NKRF,442,False,False,442,0.022272237,97.92750972945093,475.0,0.022413682,0.021249874
NKTR,1248,False,False,1248,0.07408449,94.1482627655085,1580.0,0.11023556,0.10451169
NKX2-2,84,False,False,84,0.003985558,99.60613307075538,85.0,0.0046477383,0.0044064093
NKX2-2OS,82,False,False,82,0.004642003,99.61551085478501,99.0,0.005558388,0.0052697742
NKX2-9,18,False,False,18,0.0008908895,99.9155999437333,19.0,0.0048448513,0.0045932876
NKX3-1,15,False,False,15,0.0007033338,99.92966661977775,15.0,0.0026809874,0.00254178
NKX6-2,581,False,False,581,0.031978242,97.27575373939138,682.0,0.090022266,0.08534796
NKX6-3,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0023160428,0.0021957846
NLE1,132,False,False,132,0.0067520044,99.38106625404417,144.0,0.004545864,0.004309825
NLGN1,2357,False,False,2357,0.29483753,88.94828152107657,6288.0,0.32144916,0.30475825
NLGN2,882,False,False,882,0.04515403,95.8643972429315,963.0,0.0933814,0.088532664
NLGN3,942,False,False,942,0.051108923,95.58306372204248,1090.0,0.05587686,0.052975513
NLK,1179,False,False,1179,0.07549116,94.47179631453088,1610.0,0.07604556,0.07209697
NLN,276,False,False,276,0.014160454,98.70586580391053,302.0,0.012588606,0.011934957
NLRC3,7,False,False,7,0.00042200027,99.96717775589629,9.0,0.002545376,0.0024132102
NLRC4,11,False,False,11,0.00051577814,99.94842218783701,11.0,0.0031280122,0.0029655935
NLRC5,12,False,False,12,0.00056266703,99.9437332958222,12.0,0.002595277,0.0024605202
NLRP10,5,False,False,5,0.0002344446,99.97655553992591,5.0,0.0023638608,0.0022411197
NLRP1B,9,False,False,9,0.00042200027,99.95779997186665,9.0,0.0023989906,0.0022744257
NLRP2,8,False,False,8,0.00037511135,99.96248886388146,8.0,0.0024570515,0.0023294718
NLRP3,6,False,False,6,0.00032822244,99.9718666479111,7.0,0.0024799176,0.0023511506
NLRP4F,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0023739035,0.0022506414
NLRP6,7,False,False,7,0.00032822244,99.96717775589629,7.0,0.0026334198,0.0024966823
NLRP9B,28,False,False,28,0.0013128897,99.86871102358512,28.0,0.0037410508,0.003546801
NLRX1,96,False,False,96,0.004642003,99.54986636657758,99.0,0.0062617427,0.0059366086
NMB,86,False,False,86,0.0044544474,99.59675528672575,95.0,0.08078167,0.07658716
NMBR,11,False,False,11,0.00056266703,99.94842218783701,12.0,0.0025916344,0.0024570667
NMD3,541,False,False,541,0.027898908,97.46330941998406,595.0,0.021382764,0.020272486
NME1,4869,False,False,4869,0.3496038,77.16978477985651,7456.0,0.4566532,0.43294197
NME2,23,False,False,23,0.0010784451,99.89215548365921,23.0,0.0026952443,0.0025552965
NME3,44,False,False,44,0.0021568902,99.79368875134806,46.0,0.0037777524,0.0035815968
NME4,63,False,False,63,0.002954002,99.70459980306654,63.0,0.0039167674,0.0037133934
NME5,232,False,False,232,0.011440896,98.91217705256248,244.0,0.006240883,0.0059168315
NME6,171,False,False,171,0.008533783,99.1981994654663,182.0,0.006551005,0.0062108506
NME7,518,False,False,518,0.026304685,97.57115393632485,561.0,0.04045737,0.03835667
NME8,4,False,False,4,0.00018755568,99.98124443194072,4.0,0.0025817743,0.0024477183
NMI,110,False,False,110,0.0055328924,99.48422187837014,118.0,0.006164749,0.0058446513
NMNAT1,164,False,False,164,0.007971116,99.23102170957003,170.0,0.005247166,0.004974712
NMNAT2,1837,False,False,1837,0.10878229,91.38650536878136,2320.0,0.24322228,0.23059322
NMNAT3,58,False,False,58,0.0028133353,99.72804426314063,60.0,0.0036236108,0.0034354588
NMRAL1,383,False,False,383,0.019599568,98.20415435832513,418.0,0.072619446,0.06884877
NMRK1,114,False,False,114,0.0056266706,99.46546631031087,120.0,0.0051306523,0.004864249
NMRK2,7,False,False,7,0.00032822244,99.96717775589629,7.0,0.0024065133,0.0022815578
NMT1,1787,False,False,1787,0.10263985,91.6209499695222,2189.0,0.11400704,0.108087346
NMT2,997,False,False,997,0.054203592,95.32517466122755,1156.0,0.06638559,0.06293859
NMUR2,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0023888499,0.0022648114
NNAT,1966,False,False,1966,0.13616543,90.78163829886998,2904.0,0.922581,0.87467706
NNMT,18,False,False,18,0.0008908895,99.9155999437333,19.0,0.002758997,0.0026157391
NNT,266,False,False,266,0.013550898,98.7527547240587,289.0,0.016642995,0.015778825
NOA1,352,False,False,352,0.017489567,98.34951001078444,373.0,0.008209345,0.0077830837
NOB1,408,False,False,408,0.020021569,98.0869320579547,427.0,0.010637058,0.01008474
NOC2L,790,False,False,790,0.04121536,96.29577530829465,879.0,0.03045944,0.028877867
NOC3L,291,False,False,291,0.01561401,98.63553242368828,333.0,0.013763881,0.013049207
NOC4L,256,False,False,256,0.012660009,98.79964364420687,270.0,0.005929556,0.0056216703
NOD1,63,False,False,63,0.002954002,99.70459980306654,63.0,0.0054012723,0.005120817
NOD2,9,False,False,9,0.0004688892,99.95779997186665,10.0,0.002580294,0.0024463148
NODAL,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0023648918,0.0022420974
NOG,92,False,False,92,0.004548225,99.56862193463685,97.0,0.0037901148,0.0035933172
NOL10,349,False,False,349,0.017536456,98.3635766868289,374.0,0.008246397,0.007818211
NOL11,438,False,False,438,0.02255357,97.9462652975102,481.0,0.013809538,0.013092494
NOL12,443,False,False,443,0.022319127,97.9228208374361,476.0,0.019839024,0.018808905
NOL3,436,False,False,436,0.021615792,97.95564308153983,461.0,0.07527457,0.07136602
NOL4,1041,False,False,1041,0.06756693,95.1188634125756,1441.0,0.13962498,0.1323751
NOL4L,547,False,False,547,0.030008908,97.43517606789516,640.0,0.0131023135,0.01242199
NOL6,426,False,False,426,0.021193791,98.002532001688,452.0,0.009618808,0.009119362
NOL7,1366,False,False,1366,0.072396494,93.59497350776012,1544.0,0.16426626,0.15573691
NOL8,715,False,False,715,0.040183805,96.64744220940592,857.0,0.072687216,0.06891301
NOL9,196,False,False,196,0.009706006,99.08097716509589,207.0,0.0059761386,0.005665834
NOLC1,1452,False,False,1452,0.08327472,93.19172879448587,1776.0,0.11268801,0.10683681
NOM1,609,False,False,609,0.03254091,97.14446476297651,694.0,0.02666549,0.025280913
NOMO1,805,False,False,805,0.041027807,96.2254419280724,875.0,0.07169304,0.067970455
NONO,448,False,False,448,0.021850238,97.89937637736202,466.0,0.016422374,0.01556966
NOP10,1315,False,False,1315,0.06845783,93.83410700051577,1460.0,0.14707874,0.13944182
NOP14,719,False,False,719,0.038261358,96.62868664134665,816.0,0.043359995,0.04110857
NOP16,430,False,False,430,0.021193791,97.98377643362873,452.0,0.011094021,0.010517976
NOP2,231,False,False,231,0.011347119,98.9168659445773,242.0,0.011680117,0.011073639
NOP56,619,False,False,619,0.030712243,97.09757584282835,655.0,0.027962232,0.026510322
NOP58,1472,False,False,1472,0.08707272,93.09795095418953,1857.0,0.14722003,0.13957578
NOP9,177,False,False,177,0.008580673,99.1700661133774,183.0,0.009528143,0.009033404
NOS1,280,False,False,280,0.01561401,98.68711023585128,333.0,0.0434808,0.041223105
NOS1AP,2041,False,False,2041,0.14451165,90.4299713977587,3082.0,0.16671386,0.15805742
NOS2,9,False,False,9,0.00042200027,99.95779997186665,9.0,0.002629706,0.0024931612
NOS3,75,False,False,75,0.0036104468,99.64833309888873,77.0,0.0057558664,0.005456999
NOSIP,647,False,False,647,0.032634687,96.96628686641347,696.0,0.078208424,0.07414754
NOSTRIN,53,False,False,53,0.002907113,99.7514887232147,62.0,0.0048643923,0.004611814
NOTCH1,149,False,False,149,0.0077366717,99.30135508979228,165.0,0.0075820023,0.007188315
NOTCH2,106,False,False,106,0.005251559,99.50297744642941,112.0,0.009099917,0.008627413
NOTCH3,50,False,False,50,0.002907113,99.76555539925916,62.0,0.004696234,0.0044523873
NOTCH4,59,False,False,59,0.0030946687,99.7233553711258,66.0,0.004379018,0.0041516423
NOTUM,21,False,False,21,0.0010315563,99.90153326768885,22.0,0.0027334134,0.002591484
NOTUMOS,6,False,False,6,0.00028133352,99.9718666479111,6.0,0.002438087,0.0023114919
NOV,359,False,False,359,0.020162236,98.31668776668073,430.0,0.10430801,0.09889193
NOVA1,590,False,False,590,0.031134242,97.23355371125803,664.0,0.045623302,0.043254364
NOVA2,455,False,False,455,0.023772683,97.8665541332583,507.0,0.026427977,0.02505573
NOX1,31,False,False,31,0.0015942233,99.85464434754067,34.0,0.0034190821,0.00324155
NOX3,21,False,False,21,0.0009846673,99.90153326768885,21.0,0.0027293044,0.002587588
NOX4,8,False,False,8,0.00037511135,99.96248886388146,8.0,0.0022705933,0.0021526953
NOXO1,35,False,False,35,0.0016411123,99.83588877948141,35.0,0.003869989,0.003669044
NOXRED1,15,False,False,15,0.00084400055,99.92966661977775,18.0,0.002420636,0.0022949472
NPAS1,161,False,False,161,0.008908895,99.24508838561448,190.0,0.008099049,0.0076785143
NPAS2,322,False,False,322,0.019365124,98.49017677122896,413.0,0.0086732125,0.008222865
NPAS3,867,False,False,867,0.07117738,95.93473062315375,1518.0,0.2108113,0.19986515
NPAS4,121,False,False,121,0.0072208936,99.43264406620716,154.0,0.0050579505,0.0047953217
NPAT,401,False,False,401,0.020584237,98.11975430205842,439.0,0.021329585,0.02022207
NPB,8,False,False,8,0.00037511135,99.96248886388146,8.0,0.0025666677,0.0024333962
NPBWR1,14,False,False,14,0.0007502227,99.93435551179256,16.0,0.0024823805,0.0023534854
NPC1,695,False,False,695,0.036573358,96.74122004970226,780.0,0.10315179,0.09779575
NPC1L1,13,False,False,13,0.00065644487,99.93904440380737,14.0,0.00296101,0.0028072628
NPC2,1746,False,False,1746,0.09434051,91.8131945421297,2012.0,0.29978794,0.28422177
NPCD,15,False,False,15,0.0007502227,99.92966661977775,16.0,0.002735886,0.0025938281
NPDC1,1996,False,False,1996,0.1134243,90.64097153842548,2419.0,0.16807091,0.15934402
NPEPL1,216,False,False,216,0.010690674,98.98719932479955,228.0,0.026852146,0.025457878
NPEPPS,2215,False,False,2215,0.12894453,89.61410418718057,2750.0,0.3037026,0.28793317
NPFF,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.002334473,0.002213258
NPFFR1,28,False,False,28,0.0014066676,99.86871102358512,30.0,0.0032271552,0.0030595886
NPHP1,274,False,False,274,0.01387912,98.71524358794017,296.0,0.00660791,0.006264802
NPHP3,114,False,False,114,0.0056735594,99.46546631031087,121.0,0.0058672535,0.005562603
NPHP4,192,False,False,192,0.009846673,99.09973273315515,210.0,0.0065669906,0.0062260064
NPHS1,9,False,False,9,0.00042200027,99.95779997186665,9.0,0.0024574802,0.002329878
NPHS1OS,4,False,False,4,0.00018755568,99.98124443194072,4.0,0.0023381063,0.0022167028
NPL,62,False,False,62,0.0030946687,99.70928869508136,66.0,0.004007742,0.003799644
NPLOC4,561,False,False,561,0.028883575,97.36953157968772,616.0,0.040472116,0.038370647
NPM1,2971,False,False,2971,0.17292634,86.06930182397899,3688.0,0.3245224,0.30767193
NPM3,10,False,False,10,0.0004688892,99.95311107985184,10.0,0.0027435569,0.0026011006
NPNT,312,False,False,312,0.018146012,98.53706569137712,387.0,0.011509223,0.010911619
NPPC,133,False,False,133,0.0065175598,99.37637736202936,139.0,0.012838592,0.012171962
NPR1,31,False,False,31,0.0014535565,99.85464434754067,31.0,0.0036208113,0.0034328045
NPR2,305,False,False,305,0.014957566,98.56988793548085,319.0,0.0074558514,0.0070687146
NPR3,184,False,False,184,0.010174896,99.13724386927369,217.0,0.004579599,0.004341808
NPRL2,640,False,False,640,0.0321658,96.9991091105172,686.0,0.038985908,0.036961608
NPRL3,295,False,False,295,0.01477001,98.61677685562901,315.0,0.011210603,0.010628505
NPSR1,17,False,False,17,0.0009846673,99.92028883574811,21.0,0.0025950365,0.002460292
NPTN,6119,False,False,6119,0.5865335,71.3086697613354,12509.0,0.39893472,0.3782205
NPTX1,2043,False,False,2043,0.16115722,90.42059361372907,3437.0,0.4301566,0.40782118
NPTX2,167,False,False,167,0.008393116,99.21695503352558,179.0,0.03699417,0.035073288
NPTXR,2359,False,False,2359,0.181929,88.93890373704694,3880.0,0.28892204,0.27392006
NPY,1060,False,False,1060,0.122708306,95.02977446429409,2617.0,0.4869053,0.46162328
NPY1R,264,False,False,264,0.013597786,98.76213250808834,290.0,0.007592619,0.0071983803
NPY2R,282,False,False,282,0.015942233,98.67773245182163,340.0,0.019199757,0.01820283
NPY5R,72,False,False,72,0.0036104468,99.66239977493319,77.0,0.0036318083,0.0034432306
NQO1,63,False,False,63,0.0030008908,99.70459980306654,64.0,0.0043822625,0.004154718
NQO2,164,False,False,164,0.008346228,99.23102170957003,178.0,0.005293628,0.0050187623
NR0B2,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.002306234,0.0021864853
NR1D1,1018,False,False,1018,0.051765367,95.2267079289164,1104.0,0.12098013,0.114698365
NR1D2,1239,False,False,1239,0.06573827,94.19046279364186,1402.0,0.15749165,0.14931408
NR1H2,288,False,False,288,0.01392601,98.64959909973273,297.0,0.024642594,0.023363052
NR1H3,41,False,False,41,0.0019693347,99.80775542739251,42.0,0.0034511043,0.0032719094
NR1H4,4,False,False,4,0.0002344446,99.98124443194072,5.0,0.0024125993,0.0022873275
NR1I3,10,False,False,10,0.0004688892,99.95311107985184,10.0,0.0039241733,0.0037204148
NR2C1,204,False,False,204,0.010221785,99.04346602897735,218.0,0.008132158,0.007709904
NR2C2,1160,False,False,1160,0.06278426,94.5608852628124,1339.0,0.14377707,0.1363116
NR2C2AP,392,False,False,392,0.01955268,98.16195433019178,417.0,0.010631034,0.010079029
NR2E1,181,False,False,181,0.008768228,99.15131054531814,187.0,0.007256476,0.006879691
NR2F1,2004,False,False,2004,0.11075163,90.60346040230694,2362.0,0.29748905,0.28204226
NR2F2,535,False,False,535,0.028367797,97.49144277207296,605.0,0.20162274,0.19115369
NR2F6,394,False,False,394,0.018849347,98.15257654616214,402.0,0.010979313,0.010409224
NR3C1,1682,False,False,1682,0.09513762,92.11328363107798,2029.0,0.28619576,0.27133536
NR3C2,1128,False,False,1128,0.08374361,94.71092980728653,1786.0,0.10569062,0.10020275
NR4A1,496,False,False,496,0.026726684,97.67430956065081,570.0,0.059157982,0.05608627
NR4A2,526,False,False,526,0.033666246,97.53364280020631,718.0,0.3295071,0.3123978
NR4A3,424,False,False,424,0.023303794,98.01190978571763,497.0,0.058110684,0.055093348
NR5A1,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.002270521,0.0021526266
NR5A2,5,False,False,5,0.0002344446,99.97655553992591,5.0,0.0023406239,0.0022190895
NR6A1,227,False,False,227,0.014723121,98.93562151263656,314.0,0.0060317526,0.0057185604
NR6A1OS,10,False,False,10,0.0004688892,99.95311107985184,10.0,0.0024689396,0.0023407426
NRADD,10,False,False,10,0.00056266703,99.95311107985184,12.0,0.0025199575,0.0023891113
NRAP,20,False,False,20,0.0009377784,99.90622215970366,20.0,0.0030093223,0.0028530664
NRARP,240,False,False,240,0.01172223,98.87466591644394,250.0,0.013296518,0.0126061095
NRAS,587,False,False,587,0.029821353,97.24762038730248,636.0,0.018683549,0.017713426
NRBF2,86,False,False,86,0.004173114,99.59675528672575,89.0,0.004626117,0.004385911
NRBP1,886,False,False,886,0.04566981,95.84564167487223,974.0,0.06196939,0.058751695
NRBP2,938,False,False,938,0.048858255,95.60181929010176,1042.0,0.09738108,0.09232467
NRCAM,3265,False,False,3265,0.22947438,84.69076757162283,4894.0,0.280026,0.2654859
NRD1,2014,False,False,2014,0.118816525,90.55657148215876,2534.0,0.27952576,0.26501167
NRDE2,273,False,False,273,0.013363342,98.71993247995499,285.0,0.007856423,0.0074484865
NREP,1063,False,False,1063,0.059220705,95.01570778824964,1263.0,0.28105178,0.26645848
NRF1,366,False,False,366,0.019646458,98.28386552257702,419.0,0.038281664,0.036293928
NRG1,112,False,False,112,0.0061893375,99.47484409434051,132.0,0.0043198746,0.0040955697
NRG2,238,False,False,238,0.015801566,98.88404370047358,337.0,0.0070183277,0.006653908
NRG3,2332,False,False,2332,0.4262203,89.065503821447,9090.0,0.21215892,0.2011428
NRG3OS,26,False,False,26,0.001219112,99.87808880761476,26.0,0.002881223,0.0027316187
NRG4,31,False,False,31,0.001781779,99.85464434754067,38.0,0.0028670905,0.00271822
NRGN,6268,False,False,6268,0.8608337,70.61002485112769,18359.0,0.8311762,0.7880183
NRIP1,771,False,False,771,0.042481363,96.38486425657618,906.0,0.059736364,0.056634616
NRIP2,262,False,False,262,0.0127537865,98.77151029211797,272.0,0.011711264,0.01110317
NRIP3,2732,False,False,2732,0.18718056,87.18994701552023,3992.0,0.41746497,0.39578855
NRL,28,False,False,28,0.0013128897,99.86871102358512,28.0,0.003170021,0.0030054213
NRM,26,False,False,26,0.001219112,99.87808880761476,26.0,0.0036002211,0.0034132835
NRN1,3844,False,False,3844,0.3008393,81.97589909504384,6416.0,0.5477021,0.5192632
NRN1L,15,False,False,15,0.0007502227,99.92966661977775,16.0,0.0030666902,0.0029074557
NRP1,1068,False,False,1068,0.07417827,94.99226332817555,1582.0,0.08292471,0.078618936
NRP2,463,False,False,463,0.026210906,97.82904299713978,559.0,0.055571932,0.052686416
NRROS,111,False,False,111,0.0054391148,99.47953298635532,116.0,0.0056298487,0.005337525
NRSN1,6131,False,False,6131,0.4447883,71.2524030571576,9486.0,0.64248466,0.60912436
NRSN2,602,False,False,602,0.030477798,97.17728700708022,650.0,0.03219598,0.030524239
NRTN,105,False,False,105,0.005064003,99.50766633844422,108.0,0.0054727686,0.005188601
NRXN1,6090,False,False,6090,0.75059783,71.44464762976509,16008.0,0.52886784,0.5014069
NRXN2,3510,False,False,3510,0.22272237,83.54198902799268,4750.0,0.43056837,0.40821156
NRXN3,4177,False,False,4177,0.61813664,80.41449805410981,13183.0,0.43324217,0.41074654
NSA2,82,False,False,82,0.0038917803,99.61551085478501,83.0,0.0042533665,0.004032515
NSD1,1595,False,False,1595,0.09316828,92.52121723636705,1987.0,0.15633799,0.1482203
NSDHL,345,False,False,345,0.017395789,98.38233225488817,371.0,0.039731592,0.03766857
NSF,6725,False,False,6725,0.7054907,68.46720120035636,15046.0,0.5619906,0.53280985
NSFL1C,665,False,False,665,0.033103578,96.88188681014677,706.0,0.057057012,0.05409439
NSG1,4586,False,False,4586,0.3521827,78.4967412200497,7511.0,0.39654022,0.3759503
NSG2,5559,False,False,5559,0.50302434,73.93444928963287,10728.0,0.5052037,0.47897157
NSL1,29,False,False,29,0.0015473344,99.86402213157031,33.0,0.0032299948,0.0030622808
NSMAF,544,False,False,544,0.027992686,97.4492427439396,597.0,0.027481059,0.026054135
NSMCE1,587,False,False,587,0.030665353,97.24762038730248,654.0,0.0634317,0.06013808
NSMCE2,682,False,False,682,0.03699536,96.80217564589488,789.0,0.07498621,0.071092635
NSMCE4A,1001,False,False,1001,0.052890703,95.30641909316829,1128.0,0.15464073,0.14661117
NSMF,3292,False,False,3292,0.18427345,84.56416748722278,3930.0,0.4602345,0.43633732
NSUN2,1367,False,False,1367,0.075772494,93.5902846157453,1616.0,0.12821405,0.12155667
NSUN3,166,False,False,166,0.007971116,99.22164392554039,170.0,0.005726246,0.005428917
NSUN4,190,False,False,190,0.009237117,99.10911051718479,197.0,0.006306871,0.005979393
NSUN5,146,False,False,146,0.00693956,99.31542176583673,148.0,0.004702573,0.004458397
NSUN6,151,False,False,151,0.007596005,99.29197730576264,162.0,0.00761033,0.007215172
NSUN7,154,False,False,154,0.008205561,99.2779106297182,175.0,0.004682671,0.0044395276
NT5C,944,False,False,944,0.049280256,95.57368593801286,1051.0,0.11185461,0.106046684
NT5C1A,10,False,False,10,0.0004688892,99.95311107985184,10.0,0.0023146926,0.0021945045
NT5C2,1007,False,False,1007,0.054625593,95.27828574107939,1165.0,0.11515699,0.10917759
NT5C3,1087,False,False,1087,0.057579596,94.90317437989403,1228.0,0.13790281,0.13074236
NT5C3B,521,False,False,521,0.026257796,97.5570872602804,560.0,0.038494878,0.036496073
NT5DC1,185,False,False,185,0.008815117,99.13255497725886,188.0,0.0064956476,0.006158368
NT5DC2,83,False,False,83,0.0039386693,99.6108219627702,84.0,0.0036687471,0.0034782514
NT5DC3,1673,False,False,1673,0.09795096,92.15548365921133,2089.0,0.18598552,0.17632842
NT5E,44,False,False,44,0.0021568902,99.79368875134806,46.0,0.004121388,0.0039073895
NT5M,1014,False,False,1014,0.052515592,95.24546349697567,1120.0,0.13835461,0.1311707
NTAN1,812,False,False,812,0.04009003,96.19261968396869,855.0,0.09300367,0.08817455
NTF3,78,False,False,78,0.0039386693,99.63426642284429,84.0,0.0032265065,0.0030589735
NTF5,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.002241434,0.0021250502
NTHL1,60,False,False,60,0.0028133353,99.71866647911098,60.0,0.004720164,0.0044750744
NTM,4169,False,False,4169,0.39785248,80.45200919022835,8485.0,0.60510933,0.5736897
NTMT1,653,False,False,653,0.03352558,96.93815351432457,715.0,0.07119606,0.06749928
NTN1,60,False,False,60,0.0033291134,99.71866647911098,71.0,0.006131052,0.005812704
NTN4,122,False,False,122,0.0062362263,99.42795517419233,133.0,0.0055198185,0.005233208
NTN5,51,False,False,51,0.002438224,99.76086650724434,52.0,0.0033830744,0.0032074118
NTNG1,1322,False,False,1322,0.09879495,93.80128475641206,2107.0,0.18075493,0.17136942
NTNG2,96,False,False,96,0.0054391148,99.54986636657758,116.0,0.0053732092,0.005094211
NTPCR,485,False,False,485,0.024054017,97.7258873728138,513.0,0.011220445,0.010637836
NTRK2,5344,False,False,5344,0.4215783,74.94256107281849,8991.0,0.39885408,0.37814403
NTRK3,1060,False,False,1060,0.0821025,95.02977446429409,1751.0,0.08935304,0.08471348
NTS,84,False,False,84,0.0055797817,99.60613307075538,119.0,0.26882902,0.25487036
NTSR1,56,False,False,56,0.0028133353,99.73742204717026,60.0,0.003736146,0.0035421506
NTSR2,1661,False,False,1661,0.08946406,92.21175036338913,1908.0,0.29327446,0.2780465
NUAK1,570,False,False,570,0.030477798,97.32733155155437,650.0,0.045699928,0.04332701
NUAK2,15,False,False,15,0.0007033338,99.92966661977775,15.0,0.0030048133,0.002848792
NUB1,1306,False,False,1306,0.07047404,93.87630702864914,1503.0,0.15500584,0.14695734
NUBP1,200,False,False,200,0.010221785,99.06222159703661,218.0,0.011099522,0.010523192
NUBP2,468,False,False,468,0.023210015,97.80559853706569,495.0,0.014354497,0.013609156
NUBPL,104,False,False,104,0.005298448,99.51235523045904,113.0,0.004772918,0.004525089
NUCB1,521,False,False,521,0.025788907,97.5570872602804,550.0,0.050976954,0.04833003
NUCB2,306,False,False,306,0.015989121,98.56519904346604,341.0,0.016140634,0.01530255
NUCKS1,3706,False,False,3706,0.2504337,82.62296619308857,5341.0,0.39288354,0.3724835
NUDC,1554,False,False,1554,0.0812585,92.71346180897454,1733.0,0.22032765,0.20888737
NUDCD1,321,False,False,321,0.015754677,98.49486566324379,336.0,0.016017077,0.015185407
NUDCD2,445,False,False,445,0.023116238,97.91344305340648,493.0,0.039157446,0.03712424
NUDCD3,1522,False,False,1522,0.08364984,92.86350635344867,1784.0,0.17439017,0.16533515
NUDT1,178,False,False,178,0.0090026725,99.16537722136259,192.0,0.0074501224,0.0070632827
NUDT10,398,False,False,398,0.019693347,98.13382097810288,420.0,0.008028851,0.0076119616
NUDT11,673,False,False,673,0.03465091,96.84437567402823,739.0,0.042105936,0.03991963
NUDT12,123,False,False,123,0.0060486705,99.42326628217752,129.0,0.0042569097,0.0040358743
NUDT13,272,False,False,272,0.013410231,98.7246213719698,286.0,0.009520617,0.00902627
NUDT14,180,False,False,180,0.008908895,99.15599943733295,190.0,0.0070939213,0.0067255767
NUDT16,510,False,False,510,0.026070239,97.60866507244337,556.0,0.037265718,0.03533073
NUDT16L1,834,False,False,834,0.042668916,96.08946405964271,910.0,0.09154928,0.08679568
NUDT17,133,False,False,133,0.006470671,99.37637736202936,138.0,0.0057168794,0.005420036
NUDT18,1125,False,False,1125,0.058845595,94.724996483331,1255.0,0.10458029,0.09915007
NUDT19,1674,False,False,1674,0.09152717,92.15079476719652,1952.0,0.1526662,0.14473917
NUDT2,444,False,False,444,0.021897126,97.9181319454213,467.0,0.021686835,0.02056077
NUDT21,108,False,False,108,0.00520467,99.49359966239977,111.0,0.0044466825,0.004215793
NUDT22,148,False,False,148,0.0073146718,99.30604398180711,156.0,0.005801458,0.005500224
NUDT3,4564,False,False,4564,0.28892952,78.59989684437568,6162.0,0.39754036,0.37689847
NUDT4,2456,False,False,2456,0.14619966,88.4840812116097,3118.0,0.36219925,0.34339243
NUDT5,150,False,False,150,0.0072677825,99.29666619777745,155.0,0.0063872077,0.0060555586
NUDT6,105,False,False,105,0.0050171143,99.50766633844422,107.0,0.00773781,0.0073360326
NUDT7,81,False,False,81,0.004079336,99.62019974679983,87.0,0.0046577225,0.0044158758
NUDT8,196,False,False,196,0.009518451,99.08097716509589,203.0,0.008169886,0.0077456734
NUDT9,1493,False,False,1493,0.08416561,92.99948422187838,1795.0,0.27858928,0.2641238
NUF2,38,False,False,38,0.001781779,99.82182210343696,38.0,0.0029331539,0.002780853
NUFIP1,327,False,False,327,0.016411122,98.46673231115487,350.0,0.0075267204,0.007135903
NUFIP2,1232,False,False,1232,0.06869227,94.22328503774558,1465.0,0.10072489,0.09549487
NUMA1,795,False,False,795,0.043090917,96.27233084822056,919.0,0.14039172,0.13310203
NUMB,436,False,False,436,0.025835795,97.95564308153983,551.0,0.017173685,0.01628196
NUMBL,554,False,False,554,0.02864913,97.40235382379144,611.0,0.026472041,0.025097508
NUP107,207,False,False,207,0.010221785,99.0293993529329,218.0,0.0069435835,0.0065830452
NUP133,436,False,False,436,0.022084681,97.95564308153983,471.0,0.024539838,0.023265632
NUP153,185,False,False,185,0.009190229,99.13255497725886,196.0,0.005883702,0.005578197
NUP155,185,False,False,185,0.0090026725,99.13255497725886,192.0,0.0058267033,0.005524158
NUP160,139,False,False,139,0.0072208936,99.34824400994046,154.0,0.005892935,0.0055869506
NUP188,151,False,False,151,0.0077366717,99.29197730576264,165.0,0.005900435,0.005594061
NUP205,182,False,False,182,0.009049562,99.14662165330333,193.0,0.006323021,0.0059947046
