,n_cells,mt,ERCC,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,imp_sumup,imp_sumup_norm
1700018L02RIK,12,False,False,12,0.00056266703,99.9437332958222,12.0,0.0025608048,0.0024278378
1700019A02RIK,9,False,False,9,0.00042200027,99.95779997186665,9.0,0.0024712305,0.0023429145
1700019D03RIK,249,False,False,249,0.012472453,98.8324658883106,266.0,0.026777223,0.025386846
1700019G17RIK,46,False,False,46,0.0021568902,99.78431096731842,46.0,0.0039308183,0.0037267148
1700019G24RIK,10,False,False,10,0.0004688892,99.95311107985184,10.0,0.0024454405,0.0023184638
1700019L03RIK,8,False,False,8,0.00037511135,99.96248886388146,8.0,0.0027438672,0.002601395
1700020G17RIK,4,False,False,4,0.00018755568,99.98124443194072,4.0,0.0022405782,0.0021242385
1700020I14RIK,4331,False,False,4331,0.3064191,79.692408683828,6535.0,0.39955786,0.37881127
1700020L24RIK,11,False,False,11,0.00051577814,99.94842218783701,11.0,0.002839554,0.0026921132
1700020N01RIK,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0024315186,0.0023052646
1700021F05RIK,1284,False,False,1284,0.07159938,93.9794626529751,1527.0,0.13868634,0.1314852
1700021K19RIK,661,False,False,661,0.034463357,96.90064237820603,735.0,0.1222072,0.11586172
1700021N21RIK,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.0022729896,0.0021549673
1700022A22RIK,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.002244473,0.0021279312
1700022I11RIK,5,False,False,5,0.0002344446,99.97655553992591,5.0,0.002214957,0.0020999478
1700023E05RIK,10,False,False,10,0.00051577814,99.95311107985184,11.0,0.0023554915,0.002233185
1700023F02RIK,4,False,False,4,0.00018755568,99.98124443194072,4.0,0.002564527,0.0024313668
1700023F06RIK,22,False,False,22,0.0010315563,99.89684437567404,22.0,0.0036361,0.0034472996
1700024G13RIK,4,False,False,4,0.0002344446,99.98124443194072,5.0,0.0024962777,0.002366661
1700024P16RIK,69,False,False,69,0.0036104468,99.67646645097763,77.0,0.0043052845,0.0040817373
1700025G04RIK,1486,False,False,1486,0.084353164,93.03230646598209,1799.0,0.17405519,0.16501756
1700026D08RIK,39,False,False,39,0.0023913349,99.81713321142213,51.0,0.0034485245,0.0032694635
1700026D11RIK,3,False,False,3,0.00014066676,99.98593332395555,3.0,0.002303278,0.002183683
