Gene1,Gene2,BME,DEEI(1Express_2Silence),Prob(1E_2S),DEEI(1Silence_2Express),Prob(1S_2E)
MT-RNR1,CBLN1,0.45438382262621324,1000.0,0.0,-0.0,1.0
MT-CYTB,PLCXD2,0.4542704747631078,1000.0,0.0,-0.0,1.0
MT-RNR2,EPHA5,0.45424241398546084,1000.0,0.0,-0.0,1.0
MT-RNR2,NACC2,0.4542421598512223,1000.0,0.0,-0.0,1.0
MT-RNR2,ZBTB18,0.45422799136973613,1000.0,0.0,-0.0,1.0
MOBP,NCDN,0.4542015464432068,-0.0,1.0,1000.0,0.0
MT-CYTB,ERBB4,0.4541301050272349,1000.0,0.0,-0.0,1.0
MT-RNR2,TMEM65,0.454030071938029,1000.0,0.0,-0.0,1.0
MT-RNR2,TFRC,0.45401602527299256,1000.0,0.0,-0.0,1.0
MT-RNR1,GM28928,0.4540022701976188,1000.0,0.0,-0.0,1.0
MT-RNR2,CLSTN2,0.45397355685261487,1000.0,0.0,-0.0,1.0
MT-CYTB,GLTP,0.45376364831486293,1000.0,0.0,-0.0,1.0
HPCA,QDPR,0.4537615631762841,1000.0,0.0,-0.0,1.0
CCDC153,MT-RNR1,0.4537488772900066,-0.0,1.0,1000.0,0.0
MEG3,SLC1A2,0.45366693790322626,0.9783787751908923,0.10510447925175766,-0.0,1.0
MT-RNR2,EHD3,0.4536623742939454,1000.0,0.0,-0.0,1.0
MT-RNR1,UNC13C,0.4536201736690361,1000.0,0.0,-0.0,1.0
MT-RNR2,FXYD1,0.45360594413872046,1000.0,0.0,-0.0,1.0
MT-RNR1,ADGRF5,0.453605762951228,1000.0,0.0,-0.0,1.0
MT-RNR1,TRBC2,0.45356359505121535,1000.0,0.0,-0.0,1.0
MT-RNR2,NEURL1A,0.4535631496239506,1000.0,0.0,-0.0,1.0
MT-ND1,GLTP,0.45353815807369335,1000.0,0.0,-0.0,1.0
MT-ND1,PLCXD2,0.4535349265358222,1000.0,0.0,-0.0,1.0
MT-CYTB,CAR4,0.4535349026842121,1000.0,0.0,-0.0,1.0
MT-ND1,ERBB4,0.4534511626996326,1000.0,0.0,-0.0,1.0
LYPD1,MT-RNR2,0.45340767756514,-0.0,1.0,1000.0,0.0
MT-RNR2,EPHA7,0.4532524126535094,1000.0,0.0,-0.0,1.0
MT-CYTB,RAB26,0.4532382679990806,1000.0,0.0,-0.0,1.0
MT-RNR1,LRRC10B,0.45322484859170925,1000.0,0.0,-0.0,1.0
MT-ND1,RAB26,0.453182283564052,1000.0,0.0,-0.0,1.0
MT-ND1,RAB3B,0.4531676367821941,1000.0,0.0,-0.0,1.0
MT-RNR2,KCNK1,0.4531672784056357,1000.0,0.0,-0.0,1.0
MT-CYTB,GM5741,0.45315331511170337,1000.0,0.0,-0.0,1.0
MT-RNR2,PDE4B,0.45306844716924183,1000.0,0.0,-0.0,1.0
MT-CYTB,ITIH3,0.4530683692884392,1000.0,0.0,-0.0,1.0
MT-CYTB,GNG8,0.4529700510980884,1000.0,0.0,-0.0,1.0
MT-RNR2,SLC6A1,0.45291264350328986,1000.0,0.0,-0.0,1.0
MT-ND1,CAR4,0.452799357879625,1000.0,0.0,-0.0,1.0
MT-RNR2,MAP7,0.4527855540279412,1000.0,0.0,-0.0,1.0
NRGN,QDPR,0.45275774707409383,119.33348199329419,4.6400002793964146e-120,-0.0,1.0
MT-ND1,GM5741,0.45270086328197817,1000.0,0.0,-0.0,1.0
MT-RNR1,GPR151,0.4526313704880214,1000.0,0.0,-0.0,1.0
MT-RNR2,PSAT1,0.4525878576602025,1000.0,0.0,-0.0,1.0
TNNT1,MT-RNR2,0.452587613896526,-0.0,1.0,1000.0,0.0
MYL4,MT-RNR1,0.4525875704747777,-0.0,1.0,1000.0,0.0
MT-ND1,GNG8,0.452574333968077,1000.0,0.0,-0.0,1.0
MT-RNR1,CUX2,0.4525734258190396,1000.0,0.0,-0.0,1.0
MT-RNR1,VTN,0.45257338417220616,1000.0,0.0,-0.0,1.0
MT-RNR2,SLC44A1,0.45246026857317057,1000.0,0.0,-0.0,1.0
MT-ND1,ITIH3,0.45244604237673164,1000.0,0.0,-0.0,1.0
